Q0K793	H16_A3053
Q0K100	H16_B1537
Q0JZ04	H16_B2238
Q0K8W1	H16_A2472
Q0K6D5	H16_A3367
Q0K282	H16_B1101
Q0KCL1	H16_A1119
Q0K4A0	H16_B0374
Q0KDJ5	H16_A0779
Q0KAZ2	H16_A1704
Q0JZS7	H16_B1965
Q0KBT7	H16_A1398
Q0KCU3	H16_A1036
Q0KEZ4	H16_A0276
Q0K153	H16_B1483
Q7WXJ1	PHG143
Q0JZR9	H16_B1973
Q0K4F0	H16_B0324
Q0K582	H16_B0036
Q0K921	H16_A2408
Q0KFQ7	H16_A0012
Q0K6U4	H16_A3202
Q0KBS9	H16_A1407
Q0KD41	H16_A0934
Q0K543	H16_B0075
Q0JZJ4	H16_B2048
Q7WXI3	PHG151
Q0KB06	H16_A1690
Q0K599	H16_B0019
Q0JYA3	H16_B2489
Q0KDN6	H16_A0737
Q0K5W7	H16_A3545
Q0KEE0	H16_A0481
Q0K3R5	H16_B0562
Q0K0P7	H16_B1642
Q0KAJ0	H16_A1880
Q0KC93	H16_A1238
Q0K0M8	H16_B1661
Q0K3E2	H16_B0685
Q0K7D9	H16_A3007
Q0K4C3	H16_B0351
Q0K5U3	H16_A3570
Q0KAG9	H16_A1901
Q0KCF5	H16_A1175
Q0KBK1	H16_A1487
Q0KDS7	H16_A0696
Q0K0Y6	H16_B1551
Q0KB37	H16_A1652
Q0K566	H16_B0052
Q0K6T0	H16_A3216
Q0KBA3	H16_A1586
Q0K2U0	H16_B0892
Q0JZK2	H16_B2040
Q0K6I6	H16_A3316
Q0KAD9	H16_A1931
Q0JYM6	H16_B2366
Q0K5V7	H16_A3555
Q0KEV9	H16_A0311
Q0KBA1	H16_A1588
Q0K307	H16_B0825
Q7WWV1	PHG391
Q0K7T1	H16_A2863
Q0K0D9	H16_B1753
Q0K4F1	H16_B0323
Q0KF81	H16_A0188
Q0KD43	H16_A0932
Q0K9B2	H16_A2313
Q0K6Y6	H16_A3160
Q0KEL8	H16_A0403
Q0K3E8	H16_B0679
Q0K2P0	H16_B0943
Q0JZC4	H16_B2118
Q0K0H3	H16_B1716
Q0KAZ9	H16_A1697
Q0K1F6	H16_B1379
Q0K272	H16_B1111
Q0K1G3	H16_B1372
Q0KCE8	H16_A1182
Q0KE57	H16_A0565
Q0KCH7	H16_A1153
Q0KA07	H16_A2064
Q0K2S9	H16_B0903
Q7WXR1	PHG057
Q0K8Q6	H16_A2528
Q0K6U2	H16_A3204
Q0KDK6	H16_A0768
Q0K4A5	H16_B0369
Q0K1R1	H16_B1273
Q0K7Y8	H16_A2804
Q0K6U0	H16_A3206
Q0KC51	H16_A1280
Q0K6C3	H16_A3379
Q0K7R8	H16_A2877
Q0KE05	H16_A0618
Q7WXK2	PHG122
Q0KBR3	H16_A1423
Q0JZQ7	H16_B1985
Q0K2Y0	H16_B0852
Q0K891	H16_A2701
Q0KAA8	H16_A1962
Q0K528	H16_B0090
Q0KAG0	H16_A1910
Q0K7E1	H16_A3004
Q0K296	H16_B1087
Q0K9Y8	H16_A2084
Q0K8K5	H16_A2583
Q0K5I3	H16_A3681
Q0K5G1	H16_A3704
Q0K6M0	H16_A3277
Q0KD09	H16_A0969
Q0KC97	H16_A1234
Q0K601	H16_A3502
Q0KDQ3	H16_A0720
Q0KBV5	H16_A1380
Q0K188	H16_B1448
Q0K7L1	H16_A2934
Q0K1J0	H16_B1344
Q0KDT4	H16_A0689
Q0K4K5	H16_B0268
Q0K059	H16_B1833
Q0K373	H16_B0754
Q0K996	H16_A2329
Q0K5I8	H16_A3676
Q0KB69	H16_A1620
Q0K0N5	H16_B1654
Q0K190	H16_B1446
Q0KFL8	H16_A0051
Q0K6T2	H16_A3214
Q0K864	H16_A2728
Q0K5A5	H16_B0013
Q0KFD2	H16_A0137
Q0K3N4	H16_B0593
Q0K387	H16_B0740
Q0JZT6	H16_B1956
Q0K483	H16_B0392
Q0JYA1	H16_B2491
Q0K0H8	H16_B1711
Q0K0G3	H16_B1728
Q0K6I9	H16_A3313
Q0K444	H16_B0432
Q0K2T3	H16_B0899
Q0K2Q3	H16_B0930
Q0JY43	H16_B2549
Q0KE43	H16_A0579
Q0K019	H16_B1873
Q0K386	H16_B0741
Q0K9K3	H16_A2221
Q0KCQ3	H16_A1077
Q0JY24	H16_B2568
Q0KA12	H16_A2059
Q0KDG4	H16_A0810
Q0K4J9	H16_B0274
Q0KCI6	H16_A1144
Q0KFH5	H16_A0094
Q0K2J8	H16_B0985
Q0KAG2	H16_A1908
Q0KE48	H16_A0574
Q0KF90	H16_A0179
Q0K2Z1	H16_B0841
Q0KDJ0	H16_A0784
Q0K1Q3	H16_B1281
Q0K7F4	H16_A2991
Q0KBX9	H16_A1354
Q0KC78	H16_A1253
Q0KCI1	H16_A1149
Q0K1X7	H16_B1207
Q0KFK2	H16_A0067
Q0K262	H16_B1121
Q0K4Q8	H16_B0215
Q0K1H3	H16_B1362
Q0K8C5	H16_A2666
Q0K425	H16_B0452
Q0K3C0	H16_B0707
Q0K9Q1	H16_A2173
Q7WX18	PHG324
Q0JZR7	H16_B1975
Q0K111	H16_B1526
Q0K068	H16_B1824
Q0K146	H16_B1490
Q0JZX0	H16_B1922
Q0K7Q1	H16_A2894
Q0KAM7	H16_A1841
Q0KCN3	H16_A1097
Q7WXE6	PHG188
Q0K409	H16_B0468
Q0KAF9	H16_A1911
Q0JYU3	H16_B2299
Q0K1M7	H16_B1307
Q0KAD4	H16_A1936
Q7WXA8	PHG228
Q0K1Q4	H16_B1280
Q0K4T4	H16_B0189
Q0K290	H16_B1093
Q0KBR2	H16_A1424
Q0K8E2	H16_A2649
Q0K9U8	H16_A2124
Q0K090	H16_B1802
Q0JYQ8	H16_B2334
Q0KEW1	H16_A0309
Q0K4V6	H16_B0167
Q0K549	H16_B0069
Q0JZC9	H16_B2113
Q0KC08	H16_A1323
Q0JZ17	H16_B2225
Q0KE72	H16_A0550
Q0KFE4	H16_A0125
Q0KB35	H16_A1654
Q0K7K7	H16_A2938
Q0K871	H16_A2721
Q0JZQ4	H16_B1988
Q0K4S7	H16_B0196
Q0KFR5	H16_A0004
Q0K2V0	H16_B0882
Q0K079	H16_B1813
Q0K2B9	H16_B1064
Q0JZ35	H16_B2207
Q0K659	H16_A3444
Q0K2R2	H16_B0920
Q7WX98	PHG239
Q0K231	H16_B1152
Q0K6M8	H16_A3269
Q0K1Q5	H16_B1279
Q0K9N7	H16_A2187
Q0JZ22	H16_B2220
Q0K257	H16_B1126
Q0JZV2	H16_B1940
Q0KFI0	H16_A0089
Q7WWW1	PHG381
Q0K159	H16_B1477
Q0K7E9	H16_A2996
Q0JZ02	H16_B2240
Q0K1C9	H16_B1406
Q0K1L6	H16_B1318
Q0KCE3	H16_A1187
Q7WX21	PHG321
Q0K993	H16_A2332
Q0KCJ3	H16_A1137
Q0KFC5	H16_A0144
Q0K1T4	H16_B1250
Q0K680	H16_A3423
Q0K8Y5	H16_A2447
Q0K741	H16_A3105
Q0K5Q6	H16_A3607
Q0K480	H16_B0395
Q0K677	H16_A3426
Q0KB81	H16_A1608
Q0K898	H16_A2694
Q0K5W2	H16_A3550
Q0K380	H16_B0747
Q0K7J9	H16_A2946
Q7WXH7	PHG157
Q0K244	H16_B1139
Q0K2G4	H16_B1019
Q0K217	H16_B1166
Q0JYY7	H16_B2255
Q0K8D5	H16_A2656
Q0K5W0	H16_A3552
Q0JZ05	H16_B2237
Q0K6N7	H16_A3260
Q0K194	H16_B1442
Q0JZI3	H16_B2059
Q0JZU7	H16_B1945
Q0K278	H16_B1105
Q0KAW9	H16_A1728
Q0KDB2	H16_A0862
Q0K4U2	H16_B0181
Q7WX16	PHG326
Q0KCW4	H16_A1015
Q0KFG0	H16_A0109
Q0K225	H16_B1158
Q0JZV5	H16_B1937
Q0KDM8	H16_A0745
Q0KCC1	H16_A1209
Q0KEP8	H16_A0372
Q0K3T0	H16_B0547
Q7WXB0	PHG226
Q0KBG1	H16_A1528
Q0K274	H16_B1109
Q0KDH6	H16_A0798
Q0K9Z3	H16_A2079
Q0K1Q0	H16_B1284
Q0K6D6	H16_A3366
Q0KCX9	H16_A1000
Q0K7H8	H16_A2967
Q0KFN6	H16_A0033
Q0KFN2	H16_A0037
Q0K1J1	H16_B1343
Q0K5X5	H16_A3537
Q0K7J4	H16_A2951
Q0K8T2	H16_A2501
Q0K3H4	H16_B0653
Q0K2L2	H16_B0971
Q0K0M4	H16_B1665
Q0K5H6	H16_A3688
Q0K9R3	H16_A2161
Q0JY63	H16_B2529
Q0K906	H16_A2423
Q0KC94	H16_A1237
Q0K7R0	H16_A2885
Q0K8I3	H16_A2606
Q0KF05	H16_A0264
Q0K4M7	H16_B0246
Q0K0E2	H16_B1750
Q0K6A0	H16_A3403
Q0KBD0	H16_A1559
Q0K505	H16_B0113
Q0K3S2	H16_B0555
Q0K3Z8	H16_B0479
Q0K0A4	H16_B1788
Q0K6Y8	H16_A3158
Q0K7I0	H16_A2965
Q0K697	H16_A3406
Q0KDZ4	H16_A0629
Q0JZD9	H16_B2103
Q0KF40	H16_A0229
Q0KBR5	H16_A1421
Q0JZF6	H16_B2086
Q0K2N1	H16_B0952
Q0K8R2	H16_A2521
Q0K3D0	H16_B0697
Q0K7S1	H16_A2874
Q0K8W3	H16_A2470
Q0K9V5	H16_A2117
Q0KCR8	H16_A1062
Q0K654	H16_A3449
Q0JYY5	H16_B2257
Q0JZT5	H16_B1957
Q0K6M7	H16_A3270
Q0K6N2	H16_A3265
Q0K1B2	H16_B1423
Q0K0R5	H16_B1624
Q0KCM3	H16_A1107
Q0KF22	H16_A0247
Q0KCX4	H16_A1005
Q0K2N9	H16_B0944
Q0KB66	H16_A1623
Q0K5K6	H16_A3658
Q0JYS6	H16_B2316
Q0KAV3	H16_A1751
Q0KBT6	H16_A1399
Q0K973	H16_A2353
Q0KEX4	H16_A0296
Q0JYR4	H16_B2328
Q0KFL6	H16_A0053
Q0K273	H16_B1110
Q0K0K9	H16_B1680
Q0K9C9	H16_A2296
Q0JZK3	H16_B2039
Q0K329	H16_B0803
Q0K8Q5	H16_A2529
Q7WWT5	PHG407
Q0KBR1	H16_A1425
Q0JY82	H16_B2510
Q0K8H9	H16_A2610
Q0KDN7	H16_A0736
Q0K4K6	H16_B0267
Q0JZB6	H16_B2126
Q0KFD1	H16_A0138
Q0JZP5	H16_B1997
Q0K4A3	H16_B0371
Q0K7B5	H16_A3031
Q0KBW7	H16_A1368
Q0KAF4	H16_A1916
Q0KDN5	H16_A0738
Q0KE58	H16_A0564
Q0KF85	H16_A0184
Q0K4B4	H16_B0360
Q0KFR1	H16_A0008
Q0JZG8	H16_B2074
Q0K341	H16_B0791
Q0KFI8	H16_A0081
Q0KEL3	H16_A0408
Q7WXB6	PHG219
Q0K9B1	H16_A2314
Q0K7P3	H16_A2902
Q0K2I5	H16_B0998
Q0K5R0	H16_A3603
Q0K6L5	H16_A3282
Q0K383	H16_B0744
Q0K3A8	H16_B0719
Q0KE23	H16_A0600
Q0K6Z0	H16_A3156
Q0K460	H16_B0415
Q0K7K3	H16_A2942
Q0K0J1	H16_B1698
Q0KEQ4	H16_A0366
Q0K858	H16_A2734
Q0KAE1	H16_A1929
Q0K0A7	H16_B1785
Q0K6I7	H16_A3315
Q0K825	H16_A2767
Q0KEM5	H16_A0396
Q0K9Y2	H16_A2090
Q0JYK0	H16_B2392
Q0KDY8	H16_A0635
Q0K5P7	H16_A3617
Q0KEF5	H16_A0466
Q0K2D4	H16_B1049
Q0JY84	H16_B2508
Q0K9T9	H16_A2135
Q0K944	H16_A2382
Q0K542	H16_B0076
Q0K9T4	H16_A2140
Q0K7L5	H16_A2930
Q0JZG3	H16_B2079
Q0K0N9	H16_B1650
Q0KAC0	H16_A1950
Q7WXT3	PHG033
Q0K2M9	H16_B0954
Q0K8E1	H16_A2650
Q0K737	H16_A3109
Q0K7S9	H16_A2865
Q0K6Z8	H16_A3148
Q0K778	H16_A3068
Q0K8I7	H16_A2602
Q0KC74	H16_A1257
Q0K5V6	H16_A3556
Q0KB91	H16_A1598
Q0K6P3	H16_A3253
Q0K1X6	H16_B1208
Q0K1Y5	H16_B1198
Q0JZ59	H16_B2183
Q0JZ87	H16_B2155
Q0K4Z9	H16_B0119
Q0K0D5	H16_B1757
Q0K2T6	H16_B0896
Q0K5Z4	H16_A3518
Q0KC84	H16_A1247
Q0K6B0	H16_A3392
Q7WXH2	PHG162
Q0JZY2	H16_B1910
Q0K3R4	H16_B0563
Q0JZ62	H16_B2180
Q0K469	H16_B0406
Q0K4E5	H16_B0329
Q7WX00	PHG342
Q7WXQ8	PHG060
Q0KAD6	H16_A1934
Q0KDI4	H16_A0790
Q0KC60	H16_A1271
Q0KDF0	H16_A0824
Q0K4R7	H16_B0206
Q0K5K8	H16_A3656
Q0K1X0	H16_B1214
Q0KA62	H16_A2009
Q0K2W1	H16_B0871
Q0KA24	H16_A2047
Q0KCB4	H16_A1216
Q0JYV3	H16_B2289
Q0KBQ4	H16_A1432
Q0KFJ5	H16_A0074
Q0K9N2	H16_A2192
Q0K1I2	H16_B1353
Q0K4J5	H16_B0278
Q0KDM1	H16_A0752
Q0KC80	H16_A1251
Q7WXR2	PHG056
Q0JYI1	H16_B2411
Q0JZJ1	H16_B2051
Q0KEE9	H16_A0472
Q0JZ13	H16_B2229
Q0K0T0	H16_B1609
Q0KE41	H16_A0581
Q0KA48	H16_A2023
Q0KF94	H16_A0175
Q0K3N6	H16_B0591
Q0K014	H16_B1878
Q0K1G1	H16_B1374
Q0KDR9	H16_A0704
Q0K322	H16_B0810
Q0K382	H16_B0745
Q0K6Q3	H16_A3243
Q0K593	H16_B0025
Q0K1I7	H16_B1347
Q7WXL5	PHG109
Q0K1M3	H16_B1311
Q0KFH8	H16_A0091
Q7WXG8	PHG166
Q0K4N4	H16_B0239
Q0K9Y0	H16_A2092
Q0KEN0	H16_A0391
Q0K6H2	H16_A3330
Q0KFJ9	H16_A0070
Q0K3C8	H16_B0699
Q0JZ23	H16_B2219
Q0KAS7	H16_A1784
Q0JYY1	H16_B2261
Q0KAC7	H16_A1943
Q0K5Y6	H16_A3526
Q0KCF2	H16_A1178
Q0KB14	H16_A1678
Q0KEI9	H16_A0432
Q0K0U5	H16_B1594
Q0K3D5	H16_B0692
Q0KDH5	H16_A0799
Q0K4E7	H16_B0327
Q0K9B8	H16_A2307
Q0KBJ2	H16_A1496
Q0K527	H16_B0091
Q0K481	H16_B0394
Q7WXF7	PHG177
Q0JZ01	H16_B2241
Q0KFF9	H16_A0110
Q0K8D0	H16_A2661
Q0K3G7	H16_B0660
Q7WWY0	PHG362
Q7WX36	PHG306
Q0KCR2	H16_A1068
Q0K5Y3	H16_A3529
Q0KFJ7	H16_A0072
Q0KDL7	H16_A0756
Q0K7L6	H16_A2929
Q7WWZ3	PHG349
Q0KB58	H16_A1631
Q0K8J1	H16_A2598
Q0K840	H16_A2752
Q0K2V4	H16_B0878
Q0K4U6	H16_B0177
Q0K1U7	H16_B1237
Q0K5Y0	H16_A3532
Q0KBE9	H16_A1540
Q0K4G2	H16_B0312
Q0KDS9	H16_A0694
Q0K7N3	H16_A2912
Q0K3Z7	H16_B0480
Q0KES6	H16_A0344
Q0KCI3	H16_A1147
Q0K0N0	H16_B1659
Q0KC48	H16_A1283
Q0K8B9	H16_A2672
Q0KC28	H16_A1303
Q0K9X2	H16_A2100
Q0K4P2	H16_B0231
Q0K9V4	H16_A2118
Q0KCE7	H16_A1183
Q0K462	H16_B0413
Q0K203	H16_B1180
Q0KE34	H16_A0589
Q0K1S2	H16_B1262
Q0KAN0	H16_A1838
Q0KB33	H16_A1656
Q0JZS5	H16_B1967
Q0K5G6	H16_A3699
Q0K1K2	H16_B1332
Q0K3R8	H16_B0559
Q0K907	H16_A2422
Q0K3W5	H16_B0512
Q0K8T4	H16_A2499
Q0KES0	H16_A0350
Q0KCX6	H16_A1003
Q0K763	H16_A3083
Q0K5Z6	H16_A3516
Q0K1I5	H16_B1349
Q0KEB7	H16_A0504
Q0KD32	H16_A0943
Q0K067	H16_B1825
Q0JZZ4	H16_B1898
Q0K563	H16_B0055
Q0KET2	H16_A0338
Q0JZW3	H16_B1929
Q0K1Z8	H16_B1185
Q0KF93	H16_A0176
Q0K209	H16_B1174
Q0K5B1	H16_B0007
Q7WWY4	PHG358
Q0JYI2	H16_B2410
Q0K2L8	H16_B0965
Q0KDB4	H16_A0860
Q0K7X1	H16_A2822
Q0K3C1	H16_B0706
Q0K032	H16_B1860
Q0JYF3	H16_B2439
Q0JZE2	H16_B2100
Q0K089	H16_B1803
Q0KCG5	H16_A1165
Q0K096	H16_B1796
Q0JZK4	H16_B2038
Q0K114	H16_B1523
Q0K8L6	H16_A2572
Q0KBN8	H16_A1448
Q0KF38	H16_A0231
Q0KE01	H16_A0622
Q0K207	H16_B1176
Q0K9W3	H16_A2109
Q0KAW1	H16_A1736
Q0K240	H16_B1143
Q0JYZ4	H16_B2248
Q0K158	H16_B1478
Q0KB68	H16_A1621
Q0K9F3	H16_A2271
Q0K141	H16_B1496
Q0K9P9	H16_A2175
Q0KAE2	H16_A1928
Q0K7Q5	H16_A2890
Q0K7X5	H16_A2818
Q0KEA9	H16_A0512
Q0KBH1	H16_A1518
Q0K7Z6	H16_A2796
Q0K5E9	H16_A3716
Q0JZG6	H16_B2076
Q0K4I9	H16_B0284
Q0K618	H16_A3485
Q0K8J2	H16_A2597
Q0K5K7	H16_A3657
Q0K0Z9	H16_B1538
Q0JZF9	H16_B2083
Q0KA90	H16_A1980
Q0K2H9	H16_B1004
Q7WXU0	PHG022
Q0KB22	H16_A1670
Q0JZC5	H16_B2117
Q0K7N9	H16_A2906
Q0K1J7	H16_B1337
Q0JYD7	H16_B2455
Q7WX06	PHG336
Q0K0F4	H16_B1738
Q0KDG6	H16_A0808
Q0K8M3	H16_A2565
Q0JY36	H16_B2556
Q0K2K9	H16_B0974
Q0K8V0	H16_A2483
Q0K352	H16_B0780
Q0K3V5	H16_B0522
Q0JY19	H16_B2573
Q0K6R0	H16_A3236
Q0K9F8	H16_A2266
Q0K7S2	H16_A2873
Q0KB59	H16_A1630
Q0K0Y1	H16_B1556
Q0KC62	H16_A1269
Q0K0W1	H16_B1576
Q0JYC2	H16_B2470
Q0KEQ1	H16_A0369
Q0KA06	H16_A2065
Q0K407	H16_B0470
Q0K3H5	H16_B0652
Q0KD95	H16_A0879
Q0K9P5	H16_A2179
Q0KBU7	H16_A1388
Q0K2M8	H16_B0955
Q0KEG1	H16_A0460
Q0KAW8	H16_A1729
Q0K054	H16_B1838
Q0K4L7	H16_B0256
Q0K2J6	H16_B0987
Q0K1Q2	H16_B1282
Q0K529	H16_B0089
Q0K657	H16_A3446
Q0K1F9	H16_B1376
Q0JZY6	H16_B1906
Q0K378	H16_B0749
Q0K9L7	H16_A2207
Q0K810	H16_A2782
Q0KC64	H16_A1267
Q0JYB2	H16_B2480
Q0KAB1	H16_A1959
Q0KC05	H16_A1326
Q7WX23	PHG319
Q7WX86	PHG256
Q0JZ48	H16_B2194
Q0K2L9	H16_B0964
Q0K333	H16_B0799
Q0K748	H16_A3098
Q0KDY9	H16_A0634
Q7WX81	PHG261
Q0K2D9	H16_B1044
Q0K5C3	H16_A3742
Q0K438	H16_B0438
Q0K256	H16_B1127
Q0K6K1	H16_A3296
Q7WX13	PHG329
Q0KBC2	H16_A1567
Q0K7Z9	H16_A2793
Q7WX85	PHG257
Q0K6M9	H16_A3268
Q0K676	H16_A3427
Q0KD61	H16_A0914
Q0K7J2	H16_A2953
Q7WXL6	PHG108
Q0K2P4	H16_B0939
Q0KBI1	H16_A1508
Q0K893	H16_A2699
Q0K8Z8	H16_A2434
Q0KCW9	H16_A1010
Q0K441	H16_B0435
Q0KF77	H16_A0192
Q0K8K3	H16_A2585
Q0KAI5	H16_A1885
Q0KD14	H16_A0964
Q0JZ90	H16_B2152
Q7WWW4	PHG378
Q0JZQ5	H16_B1987
Q0K8E8	H16_A2641
Q0K962	H16_A2364
Q0K142	H16_B1495
Q0K6R1	H16_A3235
Q0K2U6	H16_B0886
Q0K9M1	H16_A2203
Q0K0I5	H16_B1704
Q0KDQ2	H16_A0721
Q0K7M2	H16_A2923
Q0K520	H16_B0098
Q0KEG9	H16_A0452
Q0JYU7	H16_B2295
Q0K6Q8	H16_A3238
Q0K6C2	H16_A3380
Q0K9I5	H16_A2239
Q0KA42	H16_A2029
Q0K5C4	H16_A3741
Q0K2P8	H16_B0935
Q0KEX6	H16_A0294
Q0KFH0	H16_A0099
Q0KC68	H16_A1263
Q0KD53	H16_A0922
Q0K6Q5	H16_A3241
Q0KB12	H16_A1680
Q0KBF2	H16_A1537
Q0K5D1	H16_A3734
Q0K328	H16_B0804
Q0K065	H16_B1827
Q0KFB5	H16_A0154
Q0K890	H16_A2702
Q0KE37	H16_A0586
Q7WX66	PHG276
Q0KFK0	H16_A0069
Q0K1I9	H16_B1345
Q0KF49	H16_A0220
Q0KA82	H16_A1988
Q0K7U4	H16_A2850
Q0K5Q7	H16_A3606
Q0K6Q6	H16_A3240
Q0K6U7	H16_A3199
Q0K140	H16_B1497
Q0K3X0	H16_B0507
Q0K4I3	H16_B0291
Q0K4C2	H16_B0352
Q0KFM4	H16_A0045
Q0K1A9	H16_B1426
Q0K4J2	H16_B0281
Q0K3L4	H16_B0613
Q0K001	H16_B1891
Q0KDG5	H16_A0809
Q0KBX5	H16_A1358
Q0K6X5	H16_A3171
Q0KF53	H16_A0216
Q0KAE6	H16_A1924
Q0K148	H16_B1488
Q0K9A5	H16_A2320
Q0KDB9	H16_A0855
Q0KBQ5	H16_A1431
Q0K755	H16_A3091
Q0KC79	H16_A1252
Q0KCV2	H16_A1027
Q0KB30	H16_A1662
Q0K5K3	H16_A3661
Q0K9W7	H16_A2105
Q0K5V0	H16_A3563
Q0K802	H16_A2790
Q0K2L4	H16_B0969
Q0K3K6	H16_B0621
Q0K6X1	H16_A3175
Q0K948	H16_A2378
Q0KEP2	H16_A0379
Q7WXQ9	PHG059
Q0K2E1	H16_B1042
Q0K5A2	H16_B0016
Q0JYK3	H16_B2389
Q7WX63	PHG279
Q0K012	H16_B1880
Q0K452	H16_B0424
Q0K780	H16_A3066
Q0KB19	H16_A1673
Q0KCM1	H16_A1109
Q0JY27	H16_B2565
Q0KD49	H16_A0926
Q7WXC4	PHG210
Q0KEJ2	H16_A0429
Q0KC12	H16_A1319
Q0K841	H16_A2751
Q0K1A8	H16_B1427
Q0K3M7	H16_B0600
Q0K4K8	H16_B0265
Q0K1Y8	H16_B1195
Q0JZM9	H16_B2013
Q0K6U9	H16_A3197
Q0K775	H16_A3071
Q0K422	H16_B0455
Q0K8T5	H16_A2498
Q0K4B7	H16_B0357
Q0KCE0	H16_A1190
Q0K2E0	H16_B1043
Q0K082	H16_B1810
Q0KF11	H16_A0258
Q0KEF7	H16_A0464
Q0K6R4	H16_A3232
Q0KCY6	H16_A0992
Q0K4M0	H16_B0253
Q0JZR0	H16_B1982
Q0K251	H16_B1132
Q0KEU6	H16_A0324
Q0KE90	H16_A0531
Q0JZJ6	H16_B2046
Q0KF12	H16_A0257
Q0K5K9	H16_A3655
Q0KF30	H16_A0239
Q0K493	H16_B0382
Q0K0Z4	H16_B1543
Q0KF68	H16_A0201
Q0K3I0	H16_B0647
Q0JZ64	H16_B2178
Q0K5P6	H16_A3618
Q0JZZ1	H16_B1901
Q0JZI2	H16_B2060
Q0JYE6	H16_B2446
Q0K2B8	H16_B1065
Q0K9X4	H16_A2098
Q0K024	H16_B1868
Q0K9B0	H16_A2315
Q0JZN1	H16_B2011
Q0KAL9	H16_A1849
Q0JYV4	H16_B2288
Q7WXM3	PHG100
Q0JZA8	H16_B2134
Q0K0C4	H16_B1768
Q0K7G6	H16_A2979
Q0KC75	H16_A1256
Q0K5T6	H16_A3577
Q0K8G8	H16_A2621
Q0K6J7	H16_A3300
Q0JYV7	H16_B2285
Q0K0C9	H16_B1763
Q0KE81	H16_A0541
Q7WXQ1	PHG067
Q0K0R9	H16_B1620
Q0K9B5	H16_A2310
Q0KDM4	H16_A0749
Q0JYR5	H16_B2327
Q0KE21	H16_A0602
Q0K0H5	H16_B1714
Q0KCB3	H16_A1217
Q0JZL6	H16_B2026
Q0K9H7	H16_A2247
Q0JZC6	H16_B2116
Q0K463	H16_B0412
Q7WX20	PHG322
Q0K811	H16_A2781
Q0JYU1	H16_B2301
Q0K3N8	H16_B0589
Q0K5D5	H16_A3730
Q0K5D9	H16_A3726
Q0K4A4	H16_B0370
Q0K318	H16_B0814
Q0KEM9	H16_A0392
Q0KAV5	H16_A1749
Q0K6V2	H16_A3194
Q0K4S1	H16_B0202
Q0KB42	H16_A1647
Q0K544	H16_B0074
Q0K3W6	H16_B0511
Q0KA56	H16_A2015
Q0K3V3	H16_B0524
Q7WXE5	PHG189
Q0JZZ9	H16_B1893
Q0KF13	H16_A0256
Q7WXK5	PHG119
Q0K1V9	H16_B1225
Q0K2C4	H16_B1059
Q0K0S5	H16_B1614
Q0K8Q4	H16_A2530
Q0K7D5	H16_A3011
Q0KB32	H16_A1657
Q0K7T3	H16_A2861
Q0K7U8	H16_A2846
Q0K894	H16_A2698
Q7WX99	PHG238
Q0KDZ8	H16_A0625
Q0K4H3	H16_B0301
Q0K106	H16_B1531
Q0KF99	H16_A0170
Q7WXB7	PHG218
Q0KFC3	H16_A0146
Q0K4D0	H16_B0344
Q0KB83	H16_A1606
Q0KF46	H16_A0223
Q0K5F0	H16_A3715
Q0JZN2	H16_B2010
Q0K828	H16_A2764
Q0K2E9	H16_B1034
Q0K4L1	H16_B0262
Q0K1L8	H16_B1316
Q0K470	H16_B0405
Q7WX15	PHG327
Q0KES8	H16_A0342
Q0JYG3	H16_B2429
Q0K7Q6	H16_A2889
Q0KCM6	H16_A1104
Q0K923	H16_A2406
Q0JZ58	H16_B2184
Q0KFE1	H16_A0128
Q0K4V5	H16_B0168
Q0K5X0	H16_A3542
Q0K1N7	H16_B1297
Q0K0F9	H16_B1733
Q0K6E7	H16_A3355
Q0KD28	H16_A0948
Q0K7D2	H16_A3014
Q0KEE8	H16_A0473
Q0K983	H16_A2342
Q0JYZ7	H16_B2245
Q0K9V1	H16_A2121
Q0K7A3	H16_A3043
Q0K4E9	H16_B0325
Q0K179	H16_B1457
Q0K829	H16_A2763
Q0KBJ8	H16_A1490
Q0JYX8	H16_B2264
Q0K4M4	H16_B0249
Q0JY59	H16_B2533
Q0K7N6	H16_A2909
Q0K0F7	H16_B1735
Q0K1H2	H16_B1363
Q0KCH4	H16_A1156
Q0K3X3	H16_B0504
Q0KBF4	H16_A1535
Q0K9X5	H16_A2097
Q0JYI7	H16_B2405
Q0K046	H16_B1846
Q0K0X5	H16_B1562
Q0K043	H16_B1849
Q0K4A6	H16_B0368
Q0KA15	H16_A2056
Q0K8R5	H16_A2518
Q0KCE9	H16_A1181
Q0K8G0	H16_A2629
Q0K892	H16_A2700
Q0K1D1	H16_B1404
Q0KDG8	H16_A0806
Q0KB56	H16_A1633
Q0KBN6	H16_A1450
Q0JZU0	H16_B1952
Q0K3Q6	H16_B0571
Q0K888	H16_A2704
Q0KFK3	H16_A0066
Q0K0X7	H16_B1560
Q0K4H7	H16_B0297
Q0K446	H16_B0430
Q0K7G1	H16_A2984
Q0K3S0	H16_B0557
Q0K9N0	H16_A2194
Q0JYH9	H16_B2413
Q0K237	H16_B1146
Q7WXB1	PHG225
Q0K1P2	H16_B1292
Q7WXD5	PHG199
Q0K3X9	H16_B0498
Q0JZK0	H16_B2042
Q0JYJ0	H16_B2402
Q7WXQ7	PHG061
Q0K6B9	H16_A3383
Q7WWZ6	PHG346
Q0K8X8	H16_A2454
Q0KBZ2	H16_A1340
