A0A4P6X2R8	HPF_22965
A0A4P6X424	HPF_17010
A0A4P6X0U3	HPF_10510
A0A4P6WU48	HPF_06640
A0A4P6X370	HPF_14805
A0A4P6X5V2	HPF_23425
A0A4P6X2T8	HPF_14340
A0A4P6WZ64	HPF_14970
A0A4P6X730	HPF_22755
A0A4P6WYV6	HPF_16790
A0A4P6X4J9	HPF_18980
A0A4P6X1D2	HPF_07290
A0A4V1AB12	HPF_01590
A0A4P6X2V3	HPF_17375
A0A4P6WV00	HPF_01370
A0A4P6WUW0	HPF_06195
A0A4P6X463	HPF_18155
A0A4P6WWE9	HPF_02215
A0A4P6WS04	HPF_00610
A0A4P6WWP3	HPF_02770
A0A4V1AB24	HPF_02190
A0A4P6X180	HPF_06535
A0A4P6X2C3	HPF_14790
A0A4P6WVZ6	HPF_08090
A0A4P6X178	HPF_11555
A0A4P6X3T9	HPF_16510
A0A4V1ABX1	HPF_17245
A0A4P6WWK8	HPF_09395
A0A4P6WZH5	HPF_07930
A0A4V1ABD4	HPF_07755
A0A4P6WY91	HPF_07735
A0A4P6X1N8	HPF_20660
A0A4P6X0M1	HPF_20485
A0A4P6X1U1	HPF_22840
A0A4P6WVL7	HPF_02675
A0A4V1AB47	HPF_03350
A0A4P6WY20	HPF_12875
A0A4P6X581	HPF_14670
A0A4V1AB40	HPF_02995
A0A4P6X2I6	HPF_09110
A0A4P6X256	HPF_21760
A0A4P6WSK1	HPF_01475
A0A4P6X067	HPF_10335
A0A4P6X1N0	HPF_14915
A0A4V1ABG0	HPF_09055
A0A4P6X283	HPF_12980
A0A4P6WRS1	HPF_02235
A0A4P6WX63	HPF_05090
A0A4P6X0J1	HPF_11045
A0A4P6WZ40	HPF_09695
A0A4P6WWH9	HPF_02370
A0A4P6WQV5	HPF_00585
A0A4P6WWT6	HPF_03020
A0A4P6X4X8	HPF_21770
A0A4P6X130	HPF_13645
A0A4P6WZ33	HPF_08065
A0A4P6WZX5	HPF_18965
A0A4P6X4F6	HPF_17710
A0A4P6X9W2	HPF_23385
A0A4P6WZW0	HPF_09020
A0A4P6WU03	HPF_04040
A0A4P6WVJ7	HPF_07285
A0A4V1ABL4	HPF_11790
A0A4V1ABG3	HPF_09205
A0A4P6WW39	HPF_01565
A0A4P6X251	HPF_21125
A0A4P6WYM5	HPF_13700
A0A4P6X382	HPF_17975
A0A4P6WYF0	HPF_13240
A0A4P6X412	HPF_16470
A0A4P6X2Z7	HPF_10575
A0A4V1ABW7	HPF_17045
A0A4P6WTU7	HPF_04125
A0A4P6X701	HPF_17550
A0A4P6WXG3	HPF_04980
A0A4P6WX37	HPF_04265
A0A4V1ABX5	HPF_17445
A0A4V1AB04	HPF_01190
A0A4V1AC01	HPF_18765
A0A4P6X3D7	HPF_10940
A0A4P6WRN4	HPF_02035
A0A4P6X6L9	HPF_20865
A0A4P6X296	HPF_08560
A0A4P6WYY4	HPF_02785
A0A4P6WXC6	HPF_04030
A0A4P6X375	HPF_10590
A0A4P6WWB6	HPF_02015
A0A4P6WYK1	HPF_16035
A0A4P6X5C1	HPF_19335
A0A4P6WZT0	HPF_03505
A0A4P6X0N4	HPF_12835
A0A4P6X2Y4	HPF_23315
A0A4V1ABJ1	HPF_10635
A0A4P6WTG9	HPF_05370
A0A4V1ABF5	HPF_08805
A0A4P6WZD3	HPF_07680
A0A4P6WTG1	HPF_05320
A0A4V1AB98	HPF_05925
A0A4P6WZH3	HPF_03945
A0A4V1AC00	HPF_18715
A0A4P6WY44	HPF_05200
A0A4P6WZH0	HPF_16160
A0A4P6WWT7	HPF_09955
A0A4P6X4H6	HPF_17810
A0A4P6WYE8	HPF_15680
A0A4P6X205	HPF_12870
A0A4P6X1G5	HPF_07050
A0A4P6X383	HPF_23030
A0A4P6WUQ8	HPF_05895
A0A4P6WU87	HPF_04990
A0A4P6X2W5	HPF_14145
A0A4P6WSR6	HPF_03895
A0A4P6X3Q5	HPF_11595
A0A4P6WZQ7	HPF_04450
A0A4P6X1K4	HPF_20510
A0A4P6X2V4	HPF_10310
A0A4V1AAY9	HPF_00440
A0A4P6X336	HPF_16350
A0A4P6X0E9	HPF_17965
A0A4P6WZU6	HPF_16425
A0A4P6WR84	HPF_01285
A0A4P6WT67	HPF_02815
A0A4P6X095	HPF_10495
A0A4P6X225	HPF_20975
A0A4P6X0Y4	HPF_21035
A0A4P6X6N2	HPF_17135
A0A4P6WV57	HPF_06360
A0A4P6X2N6	HPF_09415
A0A4P6WZU8	HPF_04705
A0A4P6X191	HPF_19155
A0A4P6WW34	HPF_03630
A0A4P6WU57	HPF_06690
A0A4P6X4J8	HPF_13295
A0A4V1ABP9	HPF_13555
A0A4P6WX13	HPF_10420
A0A4V1AB35	HPF_02745
A0A4P6X5F5	HPF_20750
A0A4P6WY36	HPF_12975
A0A4P6X117	HPF_18700
A0A4P6X0S8	HPF_13085
A0A4P6X7K2	HPF_22765
A0A4P6WZJ2	HPF_08030
A0A4P6WVW1	HPF_07890
A0A4P6WU51	HPF_04785
A0A4P6X6M0	HPF_16850
A0A4V1ABC9	HPF_07505
A0A4P6WZ53	HPF_03190
A0A4P6X7W9	HPF_19025
A0A4P6X4X3	HPF_19745
A0A4P6X2C0	HPF_22160
A0A4P6WZK2	HPF_08420
A0A4P6WZR6	HPF_04500
A0A4P6X0B2	HPF_19830
A0A4P6X4M9	HPF_21120
A0A4P6X366	HPF_10540
A0A4P6X651	HPF_22300
A0A4P6X0V8	HPF_05730
A0A4V1ABP4	HPF_13305
A0A4P6X3V3	HPF_16165
A0A4P6X318	HPF_10675
A0A4P6WWF6	HPF_09430
A0A4V1ABF9	HPF_09005
A0A4P6WTM9	HPF_05720
A0A4P6X9I5	HPF_22295
A0A4P6X5C7	HPF_19390
A0A4P6X0T8	HPF_13135
A0A4P6X6Q6	HPF_17050
A0A4P6X5M6	HPF_21200
A0A4P6X6N9	HPF_23355
A0A4P6WY37	HPF_00795
A0A4P6WY27	HPF_06335
A0A4P6WT78	HPF_04865
A0A4P6WWY9	HPF_10255
A0A4P6WZZ9	HPF_05010
A0A4P6WTT3	HPF_03635
A0A4P6X2C7	HPF_13180
A0A4P6WX84	HPF_11055
A0A4P6WTR7	HPF_05920
A0A4P6X1V2	HPF_21060
A0A4P6X4Y1	HPF_19795
A0A4P6WUH7	HPF_07345
A0A4P6WYC1	HPF_01630
A0A4P6WS95	HPF_03095
A0A4P6WYG4	HPF_07060
A0A4P6WVI0	HPF_07180
A0A4P6WWJ4	HPF_04185
A0A4V1AB48	HPF_03400
A0A4P6X5Q9	HPF_23225
A0A4P6X1S1	HPF_08045
A0A4P6WYF6	HPF_07055
A0A4P6X543	HPF_22170
A0A4P6WTQ1	HPF_03435
A0A4P6X5U9	HPF_15465
A0A4P6WZC4	HPF_15345
A0A4P6WXF9	HPF_04180
A0A4P6X0R9	HPF_18245
A0A4P6WVW6	HPF_10265
A0A4P6X158	HPF_19655
A0A4P6WYC5	HPF_06905
A0A4P6WWD0	HPF_03615
A0A4P6X4S2	HPF_21395
A0A4V1AC69	HPF_22240
A0A4V1ABJ2	HPF_10685
A0A4P6WV10	HPF_06110
A0A4P6X1G9	HPF_19670
A0A4P6WVQ5	HPF_09815
A0A4P6WY78	HPF_12890
A0A4P6WYV5	HPF_14205
A0A4P6WW96	HPF_09075
A0A4P6WYM8	HPF_07515
A0A4P6WXI4	HPF_00080
A0A4P6WUI4	HPF_00555
A0A4P6WZX6	HPF_04860
A0A4P6WZG8	HPF_10415
A0A4P6WR36	HPF_01035
A0A4P6X7D6	HPF_18455
A0A4P6X2D5	HPF_08810
A0A4P6X250	HPF_21710
A0A4P6X3B4	HPF_23180
A0A4V1ABR3	HPF_14270
A0A4P6WVT9	HPF_03075
A0A4P6WUQ2	HPF_00905
A0A4P6X2M0	HPF_09810
A0A4P6WRP3	HPF_02085
A0A4P6X2B5	HPF_09145
A0A4P6WX21	HPF_10705
A0A4P6WST6	HPF_02060
A0A4P6WX60	HPF_12900
A0A4V1ABA2	HPF_06125
A0A4P6X2U4	HPF_09775
A0A4P6X711	HPF_17600
A0A4P6WV37	HPF_01605
A0A4P6WY93	HPF_01480
A0A4V1AB42	HPF_03100
A0A4P6WZ38	HPF_14815
A0A4P6WY81	HPF_06655
A0A4P6WUY7	HPF_05960
A0A4P6X299	HPF_14635
A0A4P6WX22	HPF_12700
A0A4P6WZJ3	HPF_09065
A0A4P6WSK3	HPF_01560
A0A4P6WSJ6	HPF_01510
A0A4P6WY01	HPF_06185
A0A4P6WYX0	HPF_14310
A0A4P6X3X9	HPF_11945
A0A4P6WSD3	HPF_01125
A0A4P6WU68	HPF_04890
A0A4P6X1P5	HPF_07510
A0A4P6X5Q3	HPF_19500
A0A4P6WWQ2	HPF_04590
A0A4V1ABA7	HPF_06375
A0A4P6X2B8	HPF_13130
A0A4P6X023	HPF_04060
A0A4P6X8A7	HPF_19840
A0A4P6X260	HPF_08845
A0A4P6X2S1	HPF_10110
A0A4P6X7A8	HPF_18305
A0A4P6X4G2	HPF_20720
A0A4P6X308	HPF_10625
A0A4P6WTI1	HPF_03030
A0A4P6X103	HPF_12005
A0A4P6X7J9	HPF_18805
A0A4V1AAZ5	HPF_00740
A0A4P6X278	HPF_21300
A0A4P6WXI3	HPF_13610
A0A4P6X8P8	HPF_20695
A0A4P6X0W3	HPF_10950
A0A4P6WXZ6	HPF_00980
A0A4V1ABS4	HPF_14830
A0A4P6WY05	HPF_14775
A0A4P6X137	HPF_06280
A0A4P6WUT6	HPF_01020
A0A4P6X0W2	HPF_10660
A0A4P6X5J4	HPF_21000
A0A4V1ABH5	HPF_09820
A0A4P6WYB8	HPF_13425
A0A4P6X4A9	HPF_12660
A0A4P6WXZ7	HPF_14725
A0A4P6X249	HPF_16015
A0A4P6X174	HPF_06985
A0A4P6X3R4	HPF_17455
A0A4P6X126	HPF_13595
A0A4P6WY84	HPF_01430
A0A4P6X3H5	HPF_11580
A0A4P6X0R1	HPF_18180
A0A4P6WWM7	HPF_09495
A0A4P6WYW0	HPF_07820
A0A4P6X1C1	HPF_07240
A0A4V1ABB0	HPF_06530
A0A4P6X2J2	HPF_21925
A0A4P6WYN9	HPF_14240
A0A4P6X1Z2	HPF_21335
A0A4P6X1N9	HPF_14965
A0A4P6X1M3	HPF_11915
A0A4P6WX20	HPF_10470
A0A4P6X0S1	HPF_10650
A0A4V1AB08	HPF_01390
A0A4P6X2W4	HPF_15945
A0A4P6WYY7	HPF_17040
A0A4P6X586	HPF_19135
A0A4P6WZS1	HPF_08430
A0A4P6WUQ9	HPF_05510
A0A4P6WVN8	HPF_00765
A0A4P6X154	HPF_06885
A0A4P6X071	HPF_17565
A0A4P6X0X0	HPF_19040
A0A4P6X2X0	HPF_10425
A0A4P6WZ84	HPF_17640
A0A4P6WWB2	HPF_09175
A0A4P6WT08	HPF_04505
A0A4P6WXJ0	HPF_11425
A0A4P6WRQ8	HPF_00060
A0A4P6X580	HPF_22370
A0A4V1ABR0	HPF_14120
A0A4P6WY15	HPF_07280
A0A4P6X687	HPF_16145
A0A4P6WYZ4	HPF_06870
A0A4V1AC64	HPF_21990
A0A4P6X8P2	HPF_20645
A0A4P6X3I3	HPF_11630
A0A4P6X6G9	HPF_16785
A0A4P6X937	HPF_21930
A0A4P6WYI0	HPF_13840
A0A4P6WVQ7	HPF_07925
A0A4P6X3R3	HPF_11645
A0A4P6X1B6	HPF_21835
A0A4P6X201	HPF_21385
A0A4P6WZD1	HPF_17890
A0A4P6WUF2	HPF_04905
A0A4P6WTA1	HPF_05015
A0A4P6WT42	HPF_02665
A0A4P6X7L3	HPF_22820
A0A4P6X257	HPF_08310
A0A4V1ABY7	HPF_18045
A0A4P6X666	HPF_21105
A0A4P6X5R8	HPF_23275
A0A4P6WSC4	HPF_01075
A0A4P6X8W2	HPF_21045
A0A4P6X8K5	HPF_20395
A0A4P6WZ09	HPF_02195
A0A4V1ABP3	HPF_13255
A0A4P6WVR6	HPF_07975
A0A4P6WZ62	HPF_07275
A0A4P6WUS4	HPF_07900
A0A4P6X338	HPF_14600
A0A4P6WVY2	HPF_08375
A0A4P6X1H0	HPF_07495
A0A4P6X2Q6	HPF_10010
A0A4P6X4I6	HPF_17370
A0A4P6X1L2	HPF_11865
A0A4P6X0U7	HPF_18350
A0A4P6X3N4	HPF_11880
A0A4P6WXT0	HPF_12030
A0A4V1AB33	HPF_02645
A0A4P6X988	HPF_22230
A0A4P6WS42	HPF_00810
A0A4P6WVY1	HPF_10380
A0A4P6WXK7	HPF_06305
A0A4P6X9A8	HPF_21895
A0A4P6X389	HPF_11080
A0A4P6WZ76	HPF_17590
A0A4P6WW37	HPF_03060
A0A4P6WZE0	HPF_07730
A0A4P6X6F4	HPF_16500
A0A4P6X042	HPF_09475
A0A4V1ABJ5	HPF_10835
A0A4P6X6H2	HPF_16600
A0A4P6WUH5	HPF_00505
A0A4P6WYK7	HPF_06100
A0A4P6X1E6	HPF_19510
A0A4P6WW28	HPF_03010
A0A4P6WZB4	HPF_08515
A0A4P6X5Y2	HPF_20605
A0A4V1AC19	HPF_19685
A0A4P6X464	HPF_12895
A0A4P6X4Z7	HPF_18070
A0A4V1ABQ2	HPF_13715
A0A4V1ABV4	HPF_16390
A0A4P6WY59	HPF_07535
A0A4V1AC21	HPF_19785
A0A4P6WX93	HPF_11110
A0A4P6X7E8	HPF_23410
A0A4P6WWN4	HPF_03310
A0A4P6X0M7	HPF_11250
A0A4P6X1B0	HPF_07185
A0A4P6X5A3	HPF_18590
A0A4P6X4V7	HPF_17870
A0A4P6X9U1	HPF_22850
A0A4P6WYN0	HPF_08585
A0A4V1AB94	HPF_05725
A0A4P6WZZ8	HPF_03910
A0A4P6X2T5	HPF_15795
A0A4V1ABM1	HPF_12155
A0A4P6WY74	HPF_05350
A0A4P6WY95	HPF_06710
A0A4P6WYI9	HPF_07260
A0A4P6X5S0	HPF_19610
A0A4P6X041	HPF_04160
A0A4P6X4C4	HPF_17070
A0A4P6XA05	HPF_23200
A0A4V1AC18	HPF_19635
A0A4P6X0V3	HPF_10900
A0A4P6WYR1	HPF_07715
A0A4V1AB01	HPF_01040
A0A4P6WXB1	HPF_04675
A0A4P6WVW9	HPF_07940
A0A4P6WYF3	HPF_07010
A0A4P6X860	HPF_20025
A0A4P6X246	HPF_08745
A0A4P6WSS5	HPF_02010
A0A4P6WWN7	HPF_04490
A0A4P6WX70	HPF_10720
A0A4P6X0R7	HPF_13035
A0A4P6WZK6	HPF_04145
A0A4P6X4H0	HPF_20770
A0A4P6X395	HPF_14960
A0A4P6WXZ1	HPF_07125
A0A4P6WYN5	HPF_06250
A0A4V1AAZ1	HPF_00540
A0A4P6WVI4	HPF_02475
A0A4P6X5L8	HPF_21150
A0A4P6WZ70	HPF_15020
A0A4P6X001	HPF_08880
A0A4P6WZC8	HPF_08320
A0A4P6X5Q7	HPF_15315
A0A4P6X213	HPF_08545
A0A4P6X621	HPF_22100
A0A4P6WV61	HPF_01720
A0A4P6WYB6	HPF_07885
A0A4P6X233	HPF_21610
A0A4P6WYD0	HPF_01680
A0A4P6X304	HPF_10175
A0A4P6X617	HPF_20805
A0A4V1ABP8	HPF_13505
A0A4P6X1M6	HPF_20610
A0A4P6WVP3	HPF_02825
A0A4P6X7Z9	HPF_19725
A0A4P6WWC2	HPF_03565
A0A4P6WV17	HPF_08350
A0A4P6WV23	HPF_01505
A0A4P6X6H5	HPF_21755
A0A4P6WXK9	HPF_00230
A0A4P6X1R9	HPF_20860
A0A4P6WSU4	HPF_02110
A0A4P6X4R6	HPF_13705
A0A4P6X3J9	HPF_16000
A0A4P6X1Y2	HPF_07960
A0A4V1AC80	HPF_22790
A0A4P6X112	HPF_13485
A0A4P6X1E2	HPF_21985
A0A4P6X2Z9	HPF_16150
A0A4P6X0G0	HPF_18015
A0A4P6WYM4	HPF_08535
A0A4P6X6U5	HPF_22355
A0A4P6WYC9	HPF_13140
A0A4V1AB41	HPF_03045
A0A4P6WQY0	HPF_00735
A0A4P6X722	HPF_21765
A0A4V1AC48	HPF_21140
A0A4P6WW23	HPF_08625
A0A4P6WZA1	HPF_07530
A0A4P6X609	HPF_20755
A0A4P6X5S8	HPF_15775
A0A4P6X1Z7	HPF_15665
A0A4P6X0J6	HPF_06115
A0A4P6WZJ5	HPF_03050
A0A4P6WZ13	HPF_02985
A0A4P6X4Z6	HPF_18630
A0A4P6X2N8	HPF_22810
A0A4P6WUX0	HPF_05860
A0A4P6WV53	HPF_01655
A0A4P6X156	HPF_18955
A0A4P6X1W0	HPF_22940
A0A4V1AC63	HPF_21940
A0A4P6WXD1	HPF_11070
A0A4P6X6L3	HPF_21955
A0A4P6X066	HPF_17080
A0A4P6X458	HPF_16720
A0A4P6X7S6	HPF_23170
A0A4P6WTX9	HPF_04330
A0A4P6WRM5	HPF_01985
A0A4V1ABD5	HPF_07805
A0A4P6WWV2	HPF_04850
A0A4P6X4H9	HPF_20820
A0A4P6X1S4	HPF_13565
A0A4P6X8V3	HPF_20995
A0A4P6WW35	HPF_10730
A0A4P6X0Z1	HPF_21085
A0A4P6X441	HPF_17110
A0A4P6X1S8	HPF_22785
A0A4P6X662	HPF_16180
A0A4P6WZB6	HPF_02700
A0A4P6WWZ8	HPF_10555
A0A4P6X6G6	HPF_21705
A0A4V1AC23	HPF_19885
A0A4P6WS17	HPF_02690
A0A4P6WYU7	HPF_14595
A0A4P6WXN7	HPF_12015
A0A4P6X3H6	HPF_17055
A0A4P6X5P3	HPF_21325
A0A4P6X0K8	HPF_10350
A0A4P6X908	HPF_21320
A0A4P6WW71	HPF_03215
A0A4P6WW63	HPF_08440
A0A4P6WVI9	HPF_02525
A0A4P6X5X8	HPF_16080
A0A4P6X7J1	HPF_18420
A0A4P6WXS2	HPF_11980
A0A4V1ABE5	HPF_08305
A0A4P6WZY9	HPF_04960
A0A4P6WTC1	HPF_05120
A0A4P6X1T2	HPF_15240
A0A4P6WYG1	HPF_01830
A0A4P6X5N6	HPF_19400
A0A4P6WTR6	HPF_03535
A0A4P6WZ41	HPF_07920
A0A4P6X1Y4	HPF_20725
A0A4P6WSM8	HPF_01710
A0A4P6WXK2	HPF_00180
A0A4P6X682	HPF_21205
A0A4P6X6D8	HPF_16395
A0A4P6X3V8	HPF_16610
A0A4P6X119	HPF_19395
A0A4P6X3A2	HPF_15375
A0A4P6X6M4	HPF_22005
A0A4V1ABL9	HPF_12045
A0A4P6WV70	HPF_06465
A0A4P6X5D1	HPF_19440
A0A4P6X2W7	HPF_09925
A0A4P6WZR8	HPF_16765
A0A4P6WYA7	HPF_07835
A0A4P6X220	HPF_14180
A0A4P6WVC3	HPF_07165
A0A4P6X1A8	HPF_11415
A0A4P6X4T8	HPF_21500
A0A4P6X275	HPF_13170
A0A4P6WS52	HPF_00860
A0A4P6X111	HPF_12055
A0A4V1AAZ8	HPF_00890
A0A4P6WVN0	HPF_01300
A0A4P6X1Z9	HPF_20825
A0A4P6X8M5	HPF_20545
A0A4P6X1F8	HPF_19620
A0A4P6X0F9	HPF_05915
A0A4P6WXD7	HPF_05440
A0A4V1AB37	HPF_02845
A0A4P6WZS0	HPF_08820
A0A4P6WXA6	HPF_13150
A0A4P6WSA0	HPF_00925
A0A4P6WU84	HPF_04545
A0A4P6X6F7	HPF_21655
A0A4P6WVJ5	HPF_01050
A0A4P6X145	HPF_06330
A0A4P6X1Q9	HPF_22685
A0A4P6X6I9	HPF_20715
A0A4P6X1P3	HPF_12020
A0A4P6WYV3	HPF_06610
A0A4P6X2T3	HPF_13995
A0A4P6X7N2	HPF_22920
A0A4P6WU53	HPF_04345
A0A4P6WV82	HPF_01870
A0A4P6WZ34	HPF_07120
A0A4P6X669	HPF_16045
A0A4P6WW58	HPF_01665
A0A4P6WZQ0	HPF_03305
A0A4P6WUH2	HPF_05445
A0A4P6WXS1	HPF_04485
A0A4P6X4G3	HPF_18775
A0A4P6WU94	HPF_00055
A0A4P6X8G1	HPF_20580
A0A4P6X4L9	HPF_17520
A0A4P6WU45	HPF_04295
A0A4P6WZ35	HPF_03090
A0A4P6X3E6	HPF_10990
A0A4P6X0R8	HPF_18685
A0A4P6WUZ1	HPF_01320
A0A4P6X0L5	HPF_09995
A0A4P6WVX1	HPF_03230
A0A4P6WR26	HPF_00985
A0A4P6X3J2	HPF_18595
A0A4P6X3N1	HPF_17305
A0A4V1ABS5	HPF_14885
A0A4P6X038	HPF_09080
A0A4V1ABE8	HPF_08455
A0A4P6WVX2	HPF_10315
A0A4P6WXY6	HPF_12675
A0A4P6X7K6	HPF_18470
A0A4P6WWP9	HPF_09755
A0A4P6X657	HPF_21055
A0A4P6X6E5	HPF_20465
A0A4P6WS34	HPF_00575
A0A4P6WV98	HPF_06680
A0A4P6X749	HPF_17985
A0A4V1ABJ6	HPF_10885
A0A4V1ABL8	HPF_11995
A0A4V1ABX7	HPF_17545
A0A4P6X5B8	HPF_14685
A0A4P6X7K7	HPF_18860
A0A4V1AC45	HPF_20990
A0A4P6WX55	HPF_04370
A0A4V1ABR8	HPF_14525
A0A4P6X8G6	HPF_20145
A0A4P6WX56	HPF_03625
A0A4V1ABC1	HPF_07095
A0A4P6WX87	HPF_05190
A0A4P6X0T9	HPF_10750
A0A4P6X139	HPF_21410
A0A4P6X0N3	HPF_05330
A0A4P6WVR5	HPF_01500
A0A4P6WZH8	HPF_16210
A0A4P6X1A7	HPF_21785
A0A4P6WY29	HPF_12640
A0A4V1AC65	HPF_22040
A0A4P6X230	HPF_23340
A0A4V1ABC3	HPF_07195
A0A4P6WZ16	HPF_14665
A0A4P6X6X9	HPF_17635
A0A4P6WZM9	HPF_04300
A0A4P6X4W2	HPF_19695
A0A4P6WSN0	HPF_03695
A0A4V1AB72	HPF_04610
A0A4P6WXP5	HPF_00095
A0A4P6WZK0	HPF_15870
A0A4P6X2V8	HPF_09875
A0A4P6WW75	HPF_03830
A0A4P6WUQ7	HPF_07800
A0A4P6WWH3	HPF_03865
A0A4P6X7X2	HPF_19570
A0A4P6WUZ4	HPF_01355
A0A4P6X4D1	HPF_17610
A0A4P6X266	HPF_12880
A0A4P6WUS9	HPF_00970
A0A4P6X4G1	HPF_13095
A0A4V1AB57	HPF_03850
A0A4P6X274	HPF_12930
A0A4P6WTJ0	HPF_03085
A0A4P6WT76	HPF_02865
A0A4P6X1G7	HPF_12965
A0A4P6WY45	HPF_13025
A0A4P6X8Y2	HPF_21630
A0A4P6X729	HPF_17700
A0A4P6X1C4	HPF_12715
A0A4P6WUB9	HPF_07040
A0A4P6WSW7	HPF_01825
A0A4P6WWG8	HPF_02955
A0A4P6X364	HPF_10925
A0A4P6WUB3	HPF_00155
A0A4P6X5A9	HPF_19235
A0A4P6X5M0	HPF_23025
A0A4P6X5U5	HPF_15875
A0A4P6X0S4	HPF_20785
A0A4P6X603	HPF_15740
A0A4P6WWF9	HPF_02265
A0A4P6WZ99	HPF_10000
A0A4P6X0F0	HPF_12335
A0A4P6X4T9	HPF_18330
A0A4P6X996	HPF_22280
A0A4P6WVT3	HPF_08075
A0A4P6WXE9	HPF_04880
A0A4P6X6S9	HPF_17385
A0A4P6X717	HPF_22705
A0A4P6X4I8	HPF_13245
A0A4P6X5W1	HPF_21750
A0A4P6WZI7	HPF_09015
A0A4P6X6A3	HPF_16430
A0A4P6X0W7	HPF_10710
A0A4P6WTU5	HPF_06070
A0A4P6X295	HPF_16320
A0A4P6WW72	HPF_10930
A0A4V1ABF7	HPF_08905
A0A4P6WV46	HPF_08550
A0A4P6WYI5	HPF_13440
A0A4P6X080	HPF_04415
A0A4P6WVU7	HPF_01700
A0A4P6X446	HPF_19915
A0A4P6WZK7	HPF_18360
A0A4P6WZH1	HPF_18140
A0A4P6X4Q0	HPF_13410
A0A4P6X2S0	HPF_17225
A0A4P6X0G4	HPF_10135
A0A4P6X4D3	HPF_18575
A0A4P6X007	HPF_17215
A0A4P6X081	HPF_09285
A0A4P6X2I5	HPF_22510
A0A4P6X0F6	HPF_10845
A0A4P6WZ75	HPF_09900
A0A4V1ABG2	HPF_09155
A0A4P6WY87	HPF_12940
A0A4V1ABJ7	HPF_10935
A0A4V1AC24	HPF_19935
A0A4P6X781	HPF_23060
A0A4P6X069	HPF_19575
A0A4P6X1T9	HPF_15290
A0A4P6X0L8	HPF_18385
A0A4P6X7U2	HPF_18875
A0A4P6X2Q8	HPF_22915
A0A4P6WX42	HPF_04985
A0A4P6WY75	HPF_07635
A0A4P6X1C9	HPF_19410
A0A4V1AB27	HPF_02345
A0A4P6X3Y9	HPF_19560
A0A4P6WZ11	HPF_17190
A0A4P6X6Q9	HPF_17285
A0A4P6WZD8	HPF_17940
A0A4P6WWF8	HPF_03985
A0A4P6X097	HPF_12025
A0A4P6WZ95	HPF_15195
A0A4P6WWM5	HPF_04390
A0A4P6X4V5	HPF_21620
A0A4P6X072	HPF_04365
A0A4P6WZ08	HPF_14610
A0A4P6X301	HPF_14695
A0A4P6WWZ1	HPF_03275
A0A4P6X2V1	HPF_23165
A0A4P6WZR4	HPF_03405
A0A4P6WUK0	HPF_00520
A0A4P6WYW7	HPF_02685
A0A4P6WWP7	HPF_03410
A0A4P6X0S3	HPF_06520
A0A4P6X5V5	HPF_20455
A0A4P6X4U4	HPF_13670
A0A4P6X6S2	HPF_22255
A0A4P6X921	HPF_21830
A0A4P6X9H3	HPF_22680
A0A4P6WYF2	HPF_08085
A0A4P6X2S2	HPF_14235
A0A4P6X440	HPF_18055
A0A4P6WWK2	HPF_03160
A0A4P6WZI9	HPF_16310
A0A4P6WYN7	HPF_08635
A0A4P6X4E4	HPF_17660
A0A4P6WSY0	HPF_04355
A0A4P6WX72	HPF_05555
A0A4P6X0S2	HPF_10295
A0A4P6X235	HPF_21025
A0A4P6X8N0	HPF_20980
A0A4P6X215	HPF_08110
A0A4P6X040	HPF_16930
A0A4P6X144	HPF_06835
P74571	slr0659
P72886	slr0984
Q55679	sll0006
Q55476	slr0534
P72662	sll0712
P74029	sll1218
Q55136	slr0051
P74463	slr0161
P72762	sll1027
P73666	sll2012
P73066	slr2032
P73546	slr1367
P74390	slr0447
P74340	sll1538
P74468	sll0136
P74654	slr1653
Q55532	sll0300
P73785	slr1247
P72964	slr0692
P73704	sll1694
P72802	sll1667
P73757	sll0842
P74018	sll1226
P74024	sll1221
P74668	slr1666
P73918	sll1981
P73853	slr1722
P73128	slr1020
P73711	sll1688
P74527	sll1343
Q55666	sll0016
P73723	sll1625
Q55689	sll0207
P72763	slr1109
P72691	slr0237
P73914	slr2089
P72649	slr1124
P74569	slr0657
P73490	sll1129
P74022	sll1223
P72661	slr0721
Q55662	sll0020
P73043	sll1641
P72893	slr1615
P73375	slr2072
P73282	sll1070
P73173	sll1294
P73479	slr1233
Q55366	slr0898
P73644	slr1879
Q55551	slr0171
P73589	sll1314
P74702	sll0430
Q55602	slr0387
P74510	sll1841
P74429	slr0399
P72621	sll1395
Q55120	slr0435
P72864	sll0934
P72586	sll1212
P73684	sll1709
P73008	slr1044
P74614	sll1484
P74643	sll0726
Q55771	slr0201
Q55164	slr0467
Q55809	slr0089
Q55641	sll0320
P72754	slr1106
P74305	sll0915
P73842	sll1612
P74200	sll1167
P73495	sll1127
Q55419	slr0835
P74488	slr1933
Q55139	sll0067
P74172	sll1370
Q55628	sll0751
P74021	sll1224
P72885	slr0983
Q55172	slr0477
P73196	sll1583
P72877	sll0923
P74189	slr1277
P73887	sll0244
P72715	sll0222
P73808	sll1957
P73458	slr1751
P73417	sll1713
Q55387	slr0559
P73287	slr1890
P74344	sll1536
P73050	sll1636
P73198	sll1581
P72665	sll0709
Q55199	sll0680
P73753	slr0862
P73637	slr1877
P73019	sll1009
P73394	sll1733
P74174	sll1182
P74223	sll1104
P72842	sll1189
P74183	slr1271
P74730	sll0575
