KEGGgene	KO	Organism
reh:PHG258	ko:K00459	Cupriavidus
reh:PHG421	ko:K00855	Cupriavidus
reh:H16_A2102	ko:K13051	Cupriavidus
reh:PHG252	ko:K00376	Cupriavidus
reh:PHG250	ko:K07218	Cupriavidus
reh:H16_A2854	ko:K14652	Cupriavidus
reh:H16_A0184	ko:K01968	Cupriavidus
reh:H16_A2985	ko:K13292	Cupriavidus
reh:H16_A1655	ko:K03333	Cupriavidus
reh:H16_B1398	ko:K00666	Cupriavidus
reh:H16_A0648	ko:K11897	Cupriavidus
reh:H16_B2522	ko:K00666	Cupriavidus
reh:H16_A2610	ko:K11754	Cupriavidus
reh:H16_A0652	ko:K11901	Cupriavidus
reh:H16_A0663	ko:K11891	Cupriavidus
reh:H16_A0662	ko:K11892	Cupriavidus
reh:H16_A0661	ko:K11893	Cupriavidus
reh:H16_B2418	ko:K11893	Cupriavidus
reh:H16_A0651	ko:K11907	Cupriavidus
reh:H16_B2428	ko:K11907	Cupriavidus
reh:H16_B1137	ko:K11892	Cupriavidus
reh:PHG268	ko:K02575	Cupriavidus
reh:PHG269	ko:K02575	Cupriavidus
reh:H16_A0660	ko:K11906	Cupriavidus
reh:H16_B2434	ko:K11901	Cupriavidus
reh:H16_B2415	ko:K11902	Cupriavidus
reh:H16_B2433	ko:K11900	Cupriavidus
reh:H16_A0135	ko:K03524	Cupriavidus
reh:H16_A3045	ko:K11753	Cupriavidus
reh:H16_B2432	ko:K11903	Cupriavidus
reh:H16_A0654	ko:K11903	Cupriavidus
reh:PHG418	ko:K00134	Cupriavidus
reh:H16_B1515	ko:K11717	Cupriavidus
reh:H16_A0646	ko:K11895	Cupriavidus
reh:H16_B2429	ko:K11895	Cupriavidus
reh:H16_A2994	ko:K02303	Cupriavidus
reh:H16_A3337	ko:K01243	Cupriavidus
reh:H16_B2431	ko:K11897	Cupriavidus
reh:H16_A0664	ko:K11890	Cupriavidus
reh:H16_B2285	ko:K02303	Cupriavidus
reh:H16_A1460	ko:K24126	Cupriavidus
reh:H16_B2430	ko:K11896	Cupriavidus
reh:H16_A2198	ko:K12140	Cupriavidus
reh:H16_A0390	ko:K11719	Cupriavidus
reh:H16_B1757	ko:K11263	Cupriavidus
reh:PHG289	ko:K03546	Cupriavidus
reh:H16_B2475	ko:K07473	Cupriavidus
reh:H16_A2992	ko:K11720	Cupriavidus
reh:H16_B1747	ko:K07001	Cupriavidus
reh:H16_A1592	ko:K00316	Cupriavidus
reh:PHG157	ko:K03746	Cupriavidus
reh:H16_B1403	ko:K08994	Cupriavidus
reh:H16_B1953	ko:K03430	Cupriavidus
reh:H16_A2848	ko:K11752	Cupriavidus
reh:PHG244	ko:K04561	Cupriavidus
reh:H16_A1543	ko:K01996	Cupriavidus
reh:PHG380	ko:K07172	Cupriavidus
reh:H16_A2099	ko:K13890	Cupriavidus
reh:H16_A2101	ko:K13892	Cupriavidus
reh:PHG215	ko:K02194	Cupriavidus
reh:PHG216	ko:K02195	Cupriavidus
reh:H16_A2100	ko:K13889	Cupriavidus
reh:H16_A1370	ko:K01491	Cupriavidus
reh:H16_A0044	ko:K01479	Cupriavidus
reh:H16_B1684	ko:K13255	Cupriavidus
reh:H16_A2709	ko:K13288	Cupriavidus
reh:H16_B1682	ko:K06159	Cupriavidus
reh:H16_A0185	ko:K12972	Cupriavidus
reh:H16_B0275	ko:K00375	Cupriavidus
reh:H16_B1899	ko:K00619	Cupriavidus
reh:H16_A0477	ko:K07246	Cupriavidus
reh:H16_A2919	ko:K13543	Cupriavidus
reh:H16_B1644	ko:K01534	Cupriavidus
reh:H16_A1016	ko:K13482	Cupriavidus
reh:H16_B0203	ko:K13795	Cupriavidus
reh:PHG015	ko:K04653	Cupriavidus
reh:H16_A3172	ko:K01961	Cupriavidus
reh:H16_A0807	ko:K12339	Cupriavidus
reh:H16_B0602	ko:K01822	Cupriavidus
reh:H16_A3074	ko:K02433	Cupriavidus
reh:H16_A0984	ko:K12510	Cupriavidus
reh:H16_A0722	ko:K02651	Cupriavidus
reh:H16_A2349	ko:K12573	Cupriavidus
reh:H16_A0709	ko:K12511	Cupriavidus
reh:H16_A3048	ko:K13038	Cupriavidus
reh:PHG184	ko:K07473	Cupriavidus
reh:H16_B1896	ko:K13483	Cupriavidus
reh:H16_A1160	ko:K13628	Cupriavidus
reh:PHG276	ko:K01420	Cupriavidus
reh:H16_B2551	ko:K13529	Cupriavidus
reh:H16_A2814	ko:K07130	Cupriavidus
reh:PHG280	ko:K07075	Cupriavidus
reh:PHG017	ko:K04655	Cupriavidus
reh:PHG096	ko:K04656	Cupriavidus
reh:PHG007	ko:K03619	Cupriavidus
reh:H16_B0189	ko:K12511	Cupriavidus
reh:H16_A0710	ko:K12510	Cupriavidus
reh:H16_B2307	ko:K01426	Cupriavidus
reh:H16_B2235	ko:K09699	Cupriavidus
reh:H16_A3360	ko:K06020	Cupriavidus
reh:H16_B0188	ko:K12510	Cupriavidus
reh:H16_A0269	ko:K00619	Cupriavidus
reh:H16_A0260	ko:K14058	Cupriavidus
reh:PHG001	ko:K06282	Cupriavidus
reh:H16_A3631	ko:K13821	Cupriavidus
reh:H16_A3087	ko:K03342	Cupriavidus
reh:H16_A1526	ko:K07516	Cupriavidus
reh:H16_B0724	ko:K07516	Cupriavidus
reh:H16_B0205	ko:K13794	Cupriavidus
reh:H16_B0204	ko:K13796	Cupriavidus
reh:H16_B1694	ko:K04117	Cupriavidus
reh:H16_B2093	ko:K07640	Cupriavidus
reh:H16_A0985	ko:K12511	Cupriavidus
reh:H16_A0426	ko:K06879	Cupriavidus
reh:H16_B0582	ko:K15727	Cupriavidus
reh:H16_A1408	ko:K15511	Cupriavidus
reh:H16_A2747	ko:K15515	Cupriavidus
reh:H16_A3621	ko:K00281	Cupriavidus
reh:H16_A2606	ko:K10764	Cupriavidus
reh:H16_A3263	ko:K00620	Cupriavidus
reh:H16_B0033	ko:K13016	Cupriavidus
reh:H16_B0031	ko:K13017	Cupriavidus
reh:H16_B0032	ko:K13018	Cupriavidus
reh:H16_B1640	ko:K10012	Cupriavidus
reh:H16_B1834	ko:K00059	Cupriavidus
reh:H16_B1047	ko:K00114	Cupriavidus
reh:H16_B0626	ko:K00955	Cupriavidus
reh:H16_A1157	ko:K13643	Cupriavidus
reh:H16_B2459	ko:K01455	Cupriavidus
reh:H16_B2319	ko:K13639	Cupriavidus
reh:H16_A2144	ko:K13778	Cupriavidus
reh:PHG076	ko:K04655	Cupriavidus
reh:H16_B1058	ko:K07154	Cupriavidus
reh:PHG414	ko:K03885	Cupriavidus
reh:H16_B1093	ko:K10778	Cupriavidus
reh:H16_A1017	ko:K13481	Cupriavidus
reh:PHG218	ko:K02198	Cupriavidus
reh:PHG274	ko:K03769	Cupriavidus
reh:PHG003	ko:K03620	Cupriavidus
reh:PHG245	ko:K07322	Cupriavidus
reh:H16_B1143	ko:K07032	Cupriavidus
reh:H16_A2073	ko:K07154	Cupriavidus
reh:H16_A1251	ko:K01958	Cupriavidus
reh:H16_A0461	ko:K07516	Cupriavidus
reh:H16_A0394	ko:K05520	Cupriavidus
reh:H16_A0986	ko:K09005	Cupriavidus
reh:H16_A1241	ko:K01997	Cupriavidus
reh:H16_A1242	ko:K01998	Cupriavidus
reh:H16_A1539	ko:K01999	Cupriavidus
reh:H16_A1541	ko:K01998	Cupriavidus
reh:H16_A1856	ko:K01991	Cupriavidus
reh:H16_A1896	ko:K01628	Cupriavidus
reh:H16_A2086	ko:K02433	Cupriavidus
reh:H16_A1512	ko:K10974	Cupriavidus
reh:H16_A2314	ko:K09926	Cupriavidus
reh:H16_A2430	ko:K02342	Cupriavidus
reh:H16_A2609	ko:K03749	Cupriavidus
reh:H16_A2892	ko:K07027	Cupriavidus
reh:H16_A3001	ko:K13634	Cupriavidus
reh:H16_A3253	ko:K02523	Cupriavidus
reh:H16_B0150	ko:K07397	Cupriavidus
reh:H16_B0273	ko:K06934	Cupriavidus
reh:H16_B0440	ko:K03498	Cupriavidus
reh:H16_B0821	ko:K03556	Cupriavidus
reh:H16_B0867	ko:K03307	Cupriavidus
reh:H16_B0994	ko:K07127	Cupriavidus
reh:H16_B1241	ko:K00675	Cupriavidus
reh:H16_B1776	ko:K07136	Cupriavidus
reh:H16_B1970	ko:K07687	Cupriavidus
reh:H16_B2008	ko:K01999	Cupriavidus
reh:H16_B2014	ko:K06016	Cupriavidus
reh:H16_B2126	ko:K02433	Cupriavidus
reh:H16_B2161	ko:K10680	Cupriavidus
reh:H16_B2443	ko:K01989	Cupriavidus
reh:H16_B2525	ko:K06938	Cupriavidus
reh:PHG012	ko:K04651	Cupriavidus
reh:PHG014	ko:K04656	Cupriavidus
reh:PHG023	ko:K07241	Cupriavidus
reh:PHG064	ko:K06282	Cupriavidus
reh:PHG065	ko:K06281	Cupriavidus
reh:PHG073	ko:K04653	Cupriavidus
reh:PHG074	ko:K03271	Cupriavidus
reh:PHG075	ko:K04654	Cupriavidus
reh:PHG116	ko:K03549	Cupriavidus
reh:H16_B2470	ko:K00121	Cupriavidus
reh:PHG008	ko:K03618	Cupriavidus
reh:H16_A2409	ko:K13893	Cupriavidus
reh:PHG219	ko:K02199	Cupriavidus
reh:H16_B0478	ko:K10915	Cupriavidus
reh:PHG126	ko:K16090	Cupriavidus
reh:PHG407	ko:K07497	Cupriavidus
reh:H16_A1258	ko:K16850	Cupriavidus
reh:H16_A2408	ko:K13894	Cupriavidus
reh:H16_A2406	ko:K13896	Cupriavidus
reh:H16_B1433	ko:K13953	Cupriavidus
reh:H16_B2044	ko:K13487	Cupriavidus
reh:H16_A2674	ko:K03297	Cupriavidus
reh:H16_A2098	ko:K13891	Cupriavidus
reh:H16_A2407	ko:K13895	Cupriavidus
reh:PHG159	ko:K07484	Cupriavidus
reh:H16_A2777	ko:K03782	Cupriavidus
reh:H16_B2311	ko:K11003	Cupriavidus
reh:H16_B0968	ko:K04098	Cupriavidus
reh:H16_A0633	ko:K03381	Cupriavidus
reh:H16_A1361	ko:K14229	Cupriavidus
reh:H16_A1364	ko:K14229	Cupriavidus
reh:H16_A0938	ko:K23537	Cupriavidus
reh:H16_B1427	ko:K00433	Cupriavidus
reh:H16_A0794	ko:K04517	Cupriavidus
reh:H16_B0383	ko:K04118	Cupriavidus
reh:H16_B2118	ko:K01992	Cupriavidus
reh:H16_A2824	ko:K14229	Cupriavidus
reh:H16_A2524	ko:K14393	Cupriavidus
reh:H16_A3507	ko:K14225	Cupriavidus
reh:H16_B0091	ko:K18929	Cupriavidus
reh:H16_B1062	ko:K14162	Cupriavidus
reh:H16_B1194	ko:K01070	Cupriavidus
reh:H16_B1964	ko:K06889	Cupriavidus
reh:H16_A0282	ko:K00074	Cupriavidus
reh:H16_A1527	ko:K08281	Cupriavidus
reh:PHG002	ko:K06281	Cupriavidus
reh:H16_B1812	ko:K00874	Cupriavidus
reh:H16_A2236	ko:K13635	Cupriavidus
reh:H16_A1667	ko:K10680	Cupriavidus
reh:H16_B0879	ko:K13641	Cupriavidus
reh:H16_B2516	ko:K03566	Cupriavidus
reh:H16_A1540	ko:K01997	Cupriavidus
reh:H16_A2138	ko:K13779	Cupriavidus
reh:H16_B0942	ko:K13574	Cupriavidus
reh:H16_A2634	ko:K00024	Cupriavidus
reh:PHG213	ko:K02569	Cupriavidus
reh:PHG212	ko:K02568	Cupriavidus
reh:PHG211	ko:K02567	Cupriavidus
reh:PHG209	ko:K02571	Cupriavidus
reh:H16_A1230	ko:K02182	Cupriavidus
reh:PHG220	ko:K02200	Cupriavidus
reh:PHG235	ko:K13771	Cupriavidus
reh:PHG265	ko:K07673	Cupriavidus
reh:PHG267	ko:K07234	Cupriavidus
reh:PHG271	ko:K00371	Cupriavidus
reh:PHG272	ko:K00373	Cupriavidus
reh:PHG273	ko:K00374	Cupriavidus
reh:PHG275	ko:K03753	Cupriavidus
reh:PHG291	ko:K03547	Cupriavidus
reh:PHG305	ko:K06077	Cupriavidus
reh:PHG375	ko:K03497	Cupriavidus
reh:PHG384	ko:K03464	Cupriavidus
reh:PHG387	ko:K01032	Cupriavidus
reh:PHG388	ko:K01031	Cupriavidus
reh:PHG404	ko:K03464	Cupriavidus
reh:PHG423	ko:K01783	Cupriavidus
reh:PHG072	ko:K04656	Cupriavidus
reh:H16_A3534	ko:K13771	Cupriavidus
reh:H16_A0221	ko:K13651	Cupriavidus
reh:H16_A0222	ko:K13655	Cupriavidus
reh:H16_B2049	ko:K13491	Cupriavidus
reh:H16_A0179	ko:K13766	Cupriavidus
reh:H16_A0462	ko:K00632	Cupriavidus
reh:H16_B2048	ko:K13490	Cupriavidus
reh:H16_A3098	ko:K06518	Cupriavidus
reh:H16_A2593	ko:K14220	Cupriavidus
reh:H16_A2429	ko:K14232	Cupriavidus
reh:H16_A0957	ko:K14219	Cupriavidus
reh:H16_B1589	ko:K14219	Cupriavidus
reh:H16_A3562	ko:K14218	Cupriavidus
reh:H16_A2760	ko:K04085	Cupriavidus
reh:H16_A0598	ko:K14347	Cupriavidus
reh:H16_A3506	ko:K14234	Cupriavidus
reh:H16_A0945	ko:K14233	Cupriavidus
reh:H16_B1009	ko:K14338	Cupriavidus
reh:H16_A2267	ko:K14260	Cupriavidus
reh:H16_A0765	ko:K14233	Cupriavidus
reh:H16_A2400	ko:K14221	Cupriavidus
reh:H16_A1498	ko:K14221	Cupriavidus
reh:H16_A3006	ko:K14228	Cupriavidus
reh:H16_A1347	ko:K14232	Cupriavidus
reh:H16_A1226	ko:K14233	Cupriavidus
reh:H16_B1506	ko:K03762	Cupriavidus
reh:PHG405	ko:K01856	Cupriavidus
reh:H16_A3613	ko:K14219	Cupriavidus
reh:H16_B1695	ko:K07536	Cupriavidus
reh:H16_A2402	ko:K14218	Cupriavidus
reh:H16_B1830	ko:K02053	Cupriavidus
reh:H16_B1830	ko:K02054	Cupriavidus
reh:H16_A3306	ko:K01977	Cupriavidus
reh:H16_A3513	ko:K01977	Cupriavidus
reh:H16_B0769	ko:K01977	Cupriavidus
reh:H16_B0151	ko:K01977	Cupriavidus
reh:H16_A1659	ko:K01977	Cupriavidus
reh:H16_A3254	ko:K14232	Cupriavidus
reh:H16_A1683	ko:K00619	Cupriavidus
reh:H16_A1049	ko:K14228	Cupriavidus
reh:H16_A2869	ko:K14225	Cupriavidus
reh:H16_B1061	ko:K14161	Cupriavidus
reh:H16_B1355	ko:K14393	Cupriavidus
reh:H16_A2468	ko:K14237	Cupriavidus
reh:H16_A2014	ko:K13993	Cupriavidus
reh:H16_A2679	ko:K14219	Cupriavidus
reh:H16_A2523	ko:K14233	Cupriavidus
reh:H16_A3508	ko:K14236	Cupriavidus
reh:H16_A3693	ko:K14231	Cupriavidus
reh:H16_A2401	ko:K14224	Cupriavidus
reh:H16_A2126	ko:K14228	Cupriavidus
reh:H16_B1592	ko:K14228	Cupriavidus
reh:H16_A2127	ko:K14228	Cupriavidus
reh:H16_A2350	ko:K14228	Cupriavidus
reh:H16_A1423	ko:K13993	Cupriavidus
reh:H16_A1215	ko:K02533	Cupriavidus
reh:H16_B0354	ko:K14449	Cupriavidus
reh:H16_A2501	ko:K17322	Cupriavidus
reh:H16_A1661	ko:K01985	Cupriavidus
reh:H16_A3302	ko:K01985	Cupriavidus
reh:H16_B0773	ko:K01985	Cupriavidus
reh:H16_B0155	ko:K01985	Cupriavidus
reh:H16_A3509	ko:K01985	Cupriavidus
reh:H16_A3504	ko:K14235	Cupriavidus
reh:H16_A0243	ko:K00941	Cupriavidus
reh:H16_A2065	ko:K14267	Cupriavidus
reh:H16_A0998	ko:K14234	Cupriavidus
reh:H16_A0792	ko:K14170	Cupriavidus
reh:H16_A1444	ko:K14441	Cupriavidus
reh:H16_B1170	ko:K00830	Cupriavidus
reh:H16_A2544	ko:K14225	Cupriavidus
reh:H16_A2545	ko:K14225	Cupriavidus
reh:H16_A3086	ko:K06857	Cupriavidus
reh:H16_B2407	ko:K15726	Cupriavidus
reh:H16_A2436	ko:K01524	Cupriavidus
reh:PHG327	ko:K01173	Cupriavidus
reh:H16_B0597	ko:K18364	Cupriavidus
reh:H16_B0247	ko:K15125	Cupriavidus
reh:H16_A1104	ko:K14287	Cupriavidus
reh:H16_A0539	ko:K14230	Cupriavidus
reh:H16_A2737	ko:K01011	Cupriavidus
reh:H16_A2286	ko:K14226	Cupriavidus
reh:H16_B1829	ko:K02052	Cupriavidus
reh:H16_B1828	ko:K02055	Cupriavidus
reh:H16_A2885	ko:K15778	Cupriavidus
reh:H16_A1338	ko:K14237	Cupriavidus
reh:H16_A2077	ko:K14237	Cupriavidus
reh:H16_A3305	ko:K14227	Cupriavidus
reh:H16_A3512	ko:K14227	Cupriavidus
reh:H16_B0770	ko:K14227	Cupriavidus
reh:H16_B0152	ko:K14227	Cupriavidus
reh:H16_A1486	ko:K14237	Cupriavidus
reh:H16_A3393	ko:K14234	Cupriavidus
reh:H16_A2543	ko:K14222	Cupriavidus
reh:H16_A1411	ko:K15546	Cupriavidus
reh:H16_A0373	ko:K14223	Cupriavidus
reh:H16_A1405	ko:K14230	Cupriavidus
reh:H16_B1350	ko:K14230	Cupriavidus
reh:H16_A3303	ko:K01980	Cupriavidus
reh:H16_A3510	ko:K01980	Cupriavidus
reh:H16_B0154	ko:K01980	Cupriavidus
reh:H16_B0772	ko:K01980	Cupriavidus
reh:H16_A1660	ko:K01980	Cupriavidus
reh:H16_A1478	ko:K14228	Cupriavidus
reh:H16_B1186	ko:K14261	Cupriavidus
reh:H16_A2427	ko:K14219	Cupriavidus
reh:H16_B1060	ko:K14160	Cupriavidus
reh:H16_A2118	ko:K14742	Cupriavidus
reh:H16_A1465	ko:K02083	Cupriavidus
reh:H16_A0922	ko:K14974	Cupriavidus
reh:PHG266	ko:K07684	Cupriavidus
reh:H16_A2302	ko:K14591	Cupriavidus
reh:H16_A2539	ko:K14228	Cupriavidus
reh:H16_B2288	ko:K14727	Cupriavidus
reh:H16_B1832	ko:K15054	Cupriavidus
reh:H16_B2069	ko:K06016	Cupriavidus
reh:PHG334	ko:K06919	Cupriavidus
reh:H16_B2457	ko:K14977	Cupriavidus
reh:H16_B1216	ko:K03699	Cupriavidus
reh:H16_B0126	ko:K05799	Cupriavidus
reh:H16_B0632	ko:K14652	Cupriavidus
reh:H16_B0875	ko:K01800	Cupriavidus
reh:H16_A3401	ko:K04772	Cupriavidus
reh:H16_B1806	ko:K02525	Cupriavidus
reh:H16_A1129	ko:K14645	Cupriavidus
reh:H16_A1973	ko:K01969	Cupriavidus
reh:H16_A0203	ko:K15011	Cupriavidus
reh:H16_B1857	ko:K15726	Cupriavidus
reh:H16_B0583	ko:K15726	Cupriavidus
reh:H16_B0093	ko:K18928	Cupriavidus
reh:H16_A3304	ko:K14218	Cupriavidus
reh:H16_A3511	ko:K14218	Cupriavidus
reh:H16_B0771	ko:K14218	Cupriavidus
reh:H16_B0153	ko:K14218	Cupriavidus
reh:H16_B1913	ko:K15512	Cupriavidus
reh:H16_B1656	ko:K15773	Cupriavidus
reh:H16_A2736	ko:K15270	Cupriavidus
reh:H16_B0783	ko:K11939	Cupriavidus
reh:H16_A0077	ko:K15269	Cupriavidus
reh:H16_A0202	ko:K15012	Cupriavidus
reh:H16_A3611	ko:K15034	Cupriavidus
reh:H16_A1410	ko:K15513	Cupriavidus
reh:H16_A2785	ko:K14761	Cupriavidus
reh:H16_A2879	ko:K12340	Cupriavidus
reh:H16_B0693	ko:K12543	Cupriavidus
reh:H16_A1694	ko:K15509	Cupriavidus
reh:H16_B1917	ko:K15514	Cupriavidus
reh:H16_A0617	ko:K03929	Cupriavidus
reh:H16_A0924	ko:K15357	Cupriavidus
reh:H16_A0935	ko:K07335	Cupriavidus
reh:H16_A0268	ko:K14222	Cupriavidus
reh:H16_B1124	ko:K02032	Cupriavidus
reh:H16_A1303	ko:K02031	Cupriavidus
reh:H16_B1915	ko:K15546	Cupriavidus
reh:H16_B0941	ko:K00042	Cupriavidus
reh:H16_A0177	ko:K01969	Cupriavidus
reh:H16_B2408	ko:K15727	Cupriavidus
reh:H16_A1703	ko:K16877	Cupriavidus
reh:H16_A1702	ko:K16878	Cupriavidus
reh:H16_A2243	ko:K15554	Cupriavidus
reh:H16_A0493	ko:K15634	Cupriavidus
reh:H16_B0887	ko:K15553	Cupriavidus
reh:H16_B0889	ko:K10831	Cupriavidus
reh:H16_A2245	ko:K15553	Cupriavidus
reh:H16_A2242	ko:K15555	Cupriavidus
reh:H16_B0888	ko:K15551	Cupriavidus
reh:H16_A2671	ko:K15738	Cupriavidus
reh:H16_B0890	ko:K15552	Cupriavidus
reh:H16_B0527	ko:K15553	Cupriavidus
reh:H16_A0948	ko:K02428	Cupriavidus
reh:H16_A2365	ko:K15539	Cupriavidus
reh:H16_B2409	ko:K15725	Cupriavidus
reh:H16_A0485	ko:K15724	Cupriavidus
reh:H16_A1356	ko:K15371	Cupriavidus
reh:H16_B0657	ko:K01692	Cupriavidus
reh:H16_A0142	ko:K01692	Cupriavidus
reh:H16_A1899	ko:K11741	Cupriavidus
reh:H16_B0812	ko:K15357	Cupriavidus
reh:H16_A2604	ko:K11741	Cupriavidus
reh:H16_A1475	ko:K06016	Cupriavidus
reh:H16_A1889	ko:K01692	Cupriavidus
reh:H16_B0659	ko:K01692	Cupriavidus
reh:H16_B1858	ko:K15727	Cupriavidus
reh:H16_A1481	ko:K15461	Cupriavidus
reh:H16_B1125	ko:K02031	Cupriavidus
reh:H16_A0358	ko:K15577	Cupriavidus
reh:H16_A0357	ko:K15578	Cupriavidus
reh:H16_A1854	ko:K16011	Cupriavidus
reh:H16_A2617	ko:K08086	Cupriavidus
reh:H16_B0716	ko:K10823	Cupriavidus
reh:H16_B0717	ko:K15583	Cupriavidus
reh:H16_A3574	ko:K15268	Cupriavidus
reh:H16_A1304	ko:K02032	Cupriavidus
reh:H16_A3311	ko:K15866	Cupriavidus
reh:H16_A3593	ko:K15866	Cupriavidus
reh:H16_A1834	ko:K15977	Cupriavidus
reh:H16_A2026	ko:K15977	Cupriavidus
reh:H16_B0690	ko:K12541	Cupriavidus
reh:H16_B0691	ko:K12542	Cupriavidus
reh:H16_A3095	ko:K10716	Cupriavidus
reh:H16_B0672	ko:K15982	Cupriavidus
reh:H16_B0643	ko:K15983	Cupriavidus
reh:H16_A1579	ko:K15977	Cupriavidus
reh:H16_A0325	ko:K02784	Cupriavidus
reh:H16_A2203	ko:K02784	Cupriavidus
reh:H16_A1504	ko:K23997	Cupriavidus
reh:PHG070	ko:K03605	Cupriavidus
reh:H16_A1816	ko:K15977	Cupriavidus
reh:H16_B0600	ko:K16050	Cupriavidus
reh:H16_A0773	ko:K10009	Cupriavidus
reh:H16_A2972	ko:K16092	Cupriavidus
reh:H16_A1666	ko:K16137	Cupriavidus
reh:PHG399	ko:K01897	Cupriavidus
reh:H16_B2095	ko:K16089	Cupriavidus
reh:H16_B2570	ko:K16091	Cupriavidus
reh:H16_B1679	ko:K16088	Cupriavidus
reh:H16_A3182	ko:K16090	Cupriavidus
reh:H16_B1557	ko:K16147	Cupriavidus
reh:H16_B1201	ko:K03301	Cupriavidus
reh:H16_B1161	ko:K16137	Cupriavidus
reh:H16_A1727	ko:K16137	Cupriavidus
reh:H16_B2476	ko:K02014	Cupriavidus
reh:H16_B1489	ko:K02014	Cupriavidus
reh:H16_A0772	ko:K02424	Cupriavidus
reh:H16_B1234	ko:K03320	Cupriavidus
reh:H16_B2224	ko:K15554	Cupriavidus
reh:H16_B0654	ko:K16049	Cupriavidus
reh:H16_B0639	ko:K05898	Cupriavidus
reh:H16_B0638	ko:K16047	Cupriavidus
reh:H16_B0641	ko:K16051	Cupriavidus
reh:H16_A1893	ko:K16053	Cupriavidus
reh:H16_B2226	ko:K15555	Cupriavidus
reh:H16_A3308	ko:K02028	Cupriavidus
reh:H16_A0362	ko:K01801	Cupriavidus
reh:H16_A0143	ko:K16171	Cupriavidus
reh:H16_A2096	ko:K16203	Cupriavidus
reh:H16_B2117	ko:K01992	Cupriavidus
reh:H16_A1847	ko:K15778	Cupriavidus
reh:H16_B0542	ko:K16242	Cupriavidus
reh:H16_B0540	ko:K16243	Cupriavidus
reh:H16_B2098	ko:K07038	Cupriavidus
reh:H16_B2312	ko:K11004	Cupriavidus
reh:H16_B0541	ko:K16244	Cupriavidus
reh:H16_B0544	ko:K16246	Cupriavidus
reh:H16_B2472	ko:K11733	Cupriavidus
reh:H16_B1879	ko:K22187	Cupriavidus
reh:H16_A2956	ko:K07278	Cupriavidus
reh:H16_A3420	ko:K01992	Cupriavidus
reh:H16_B1044	ko:K01992	Cupriavidus
reh:H16_B0543	ko:K16245	Cupriavidus
reh:H16_B0539	ko:K16249	Cupriavidus
reh:H16_B0874	ko:K16165	Cupriavidus
reh:H16_A0361	ko:K16165	Cupriavidus
reh:H16_A2807	ko:K00666	Cupriavidus
reh:H16_B2031	ko:K16329	Cupriavidus
reh:H16_B1082	ko:K11734	Cupriavidus
reh:H16_B1890	ko:K11735	Cupriavidus
reh:H16_B1749	ko:K01796	Cupriavidus
reh:PHG394	ko:K01856	Cupriavidus
reh:H16_B0801	ko:K16319	Cupriavidus
reh:H16_A2738	ko:K16267	Cupriavidus
reh:H16_A1075	ko:K11959	Cupriavidus
reh:H16_B0077	ko:K11959	Cupriavidus
reh:H16_B0076	ko:K11960	Cupriavidus
reh:H16_A1076	ko:K11960	Cupriavidus
reh:H16_B0075	ko:K11961	Cupriavidus
reh:H16_B0718	ko:K02035	Cupriavidus
reh:H16_B0022	ko:K16692	Cupriavidus
reh:H16_B0036	ko:K16692	Cupriavidus
reh:H16_A1857	ko:K16692	Cupriavidus
reh:H16_A1077	ko:K11961	Cupriavidus
reh:H16_B2225	ko:K15554	Cupriavidus
reh:H16_B2223	ko:K15553	Cupriavidus
reh:H16_B0719	ko:K02034	Cupriavidus
reh:H16_B0720	ko:K02033	Cupriavidus
reh:H16_A2662	ko:K05825	Cupriavidus
reh:H16_B0074	ko:K11962	Cupriavidus
reh:H16_A1078	ko:K11962	Cupriavidus
reh:H16_A1079	ko:K11963	Cupriavidus
reh:H16_B0073	ko:K11963	Cupriavidus
reh:H16_A1588	ko:K05845	Cupriavidus
reh:H16_A1588	ko:K05846	Cupriavidus
reh:H16_A0534	ko:K01796	Cupriavidus
reh:H16_B2488	ko:K02029	Cupriavidus
reh:H16_B2489	ko:K02029	Cupriavidus
reh:H16_B1139	ko:K16137	Cupriavidus
reh:H16_A3199	ko:K02030	Cupriavidus
reh:H16_B2490	ko:K02030	Cupriavidus
reh:H16_A1700	ko:K16876	Cupriavidus
reh:H16_A1699	ko:K16880	Cupriavidus
reh:H16_A2966	ko:K02226	Cupriavidus
reh:H16_B1159	ko:K16137	Cupriavidus
reh:H16_A1701	ko:K16879	Cupriavidus
reh:H16_A1923	ko:K11991	Cupriavidus
reh:H16_B1337	ko:K14393	Cupriavidus
reh:H16_A1259	ko:K16849	Cupriavidus
reh:H16_B1867	ko:K02050	Cupriavidus
reh:H16_A3372	ko:K16875	Cupriavidus
reh:H16_B1868	ko:K02049	Cupriavidus
reh:H16_B2482	ko:K16841	Cupriavidus
reh:H16_A1005	ko:K13485	Cupriavidus
reh:H16_A0045	ko:K02028	Cupriavidus
reh:H16_B1045	ko:K17226	Cupriavidus
reh:H16_A3572	ko:K17225	Cupriavidus
reh:H16_B2222	ko:K17225	Cupriavidus
reh:H16_A3569	ko:K17226	Cupriavidus
reh:H16_A3568	ko:K17227	Cupriavidus
reh:H16_B1122	ko:K17103	Cupriavidus
reh:H16_A0422	ko:K01990	Cupriavidus
reh:H16_A2502	ko:K17325	Cupriavidus
reh:H16_A2500	ko:K17323	Cupriavidus
reh:H16_A2498	ko:K17321	Cupriavidus
reh:H16_B2006	ko:K18828	Cupriavidus
