Organism	Metabolite	Conc	Module	Relation	Interactions	Description
Synechocystis	Ru5P	High	M00060	External	1	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
Synechocystis	Ru5P	High	M00083	External	1	Fatty acid biosynthesis, elongation
Synechocystis	Ru5P	High	M00088	External	1	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Synechocystis	Ru5P	High	M00095	External	1	C5 isoprenoid biosynthesis, mevalonate pathway
Synechocystis	Ru5P	High	M00115	External	1	NAD biosynthesis, aspartate => quinolinate => NAD
Synechocystis	Ru5P	High	M00118	External	1	Glutathione biosynthesis, glutamate => glutathione
Synechocystis	Ru5P	High	M00149	External	1	Succinate dehydrogenase, prokaryotes
Synechocystis	Ru5P	High	M00163	External	1	Photosystem I
Synechocystis	Ru5P	High	M00173	External	1	Reductive citrate cycle (Arnon-Buchanan cycle)
Synechocystis	Ru5P	High	M00307	External	1	Pyruvate oxidation, pyruvate => acetyl-CoA
Synechocystis	Ru5P	High	M00346	External	1	Formaldehyde assimilation, serine pathway
Synechocystis	Ru5P	High	M00373	External	1	Ethylmalonyl pathway
Synechocystis	Ru5P	High	M00375	External	1	Hydroxypropionate-hydroxybutylate cycle
Synechocystis	Ru5P	High	M00376	External	1	3-Hydroxypropionate bi-cycle
Synechocystis	Ru5P	High	M00432	External	1	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Synechocystis	Ru5P	High	M00532	External	1	Photorespiration
Synechocystis	Ru5P	High	M00535	External	1	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Synechocystis	Ru5P	High	M00565	External	1	Trehalose biosynthesis, D-glucose 1P => trehalose
Synechocystis	Ru5P	High	M00572	External	1	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Synechocystis	Ru5P	High	M00615	External	1	Nitrate assimilation
Synechocystis	Ru5P	High	M00849	External	1	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Synechocystis	Ru5P	High	M00855	External	1	Glycogen degradation, glycogen => glucose-6P
Synechocystis	Ru5P	High	M00866	External	1	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
Synechocystis	Ru5P	High	M00873	External	1	Fatty acid biosynthesis in mitochondria, animals
Synechocystis	Ru5P	High	M00874	External	1	Fatty acid biosynthesis in mitochondria, fungi
Synechocystis	Ru5P	High	M00912	External	1	NAD biosynthesis, tryptophan => quinolinate => NAD
Synechocystis	Ru5P	Low	M00051	External	1	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
Synechocystis	RuBP	High	M00051	External	1	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP
Synechocystis	RuBP	High	M00088	External	1	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Synechocystis	RuBP	High	M00095	External	1	C5 isoprenoid biosynthesis, mevalonate pathway
Synechocystis	RuBP	High	M00373	External	1	Ethylmalonyl pathway
Synechocystis	RuBP	High	M00374	External	1	Dicarboxylate-hydroxybutyrate cycle
Synechocystis	RuBP	High	M00375	External	1	Hydroxypropionate-hydroxybutylate cycle
Synechocystis	RuBP	High	M00432	External	1	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Synechocystis	RuBP	High	M00535	External	1	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Synechocystis	RuBP	High	M00849	External	1	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Cupriavidus	3PGA	High	M00006	External	0	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
Cupriavidus	3PGA	High	M00008	External	0	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
Cupriavidus	3PGA	High	M00013	External	0	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
Cupriavidus	3PGA	High	M00015	External	0	Proline biosynthesis, glutamate => proline
Cupriavidus	3PGA	High	M00016	External	0	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
Cupriavidus	3PGA	High	M00019	External	0	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Cupriavidus	3PGA	High	M00022	External	0	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
Cupriavidus	3PGA	High	M00027	External	0	GABA (gamma-Aminobutyrate) shunt
Cupriavidus	3PGA	High	M00029	External	0	Urea cycle
Cupriavidus	3PGA	High	M00036	External	0	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Cupriavidus	3PGA	High	M00060	External	0	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
Cupriavidus	3PGA	High	M00064	External	0	ADP-L-glycero-D-manno-heptose biosynthesis
Cupriavidus	3PGA	High	M00082	External	0	Fatty acid biosynthesis, initiation
Cupriavidus	3PGA	High	M00083	External	0	Fatty acid biosynthesis, elongation
Cupriavidus	3PGA	High	M00087	External	0	beta-Oxidation
Cupriavidus	3PGA	High	M00088	External	0	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Cupriavidus	3PGA	High	M00095	External	0	C5 isoprenoid biosynthesis, mevalonate pathway
Cupriavidus	3PGA	High	M00096	External	0	C5 isoprenoid biosynthesis, non-mevalonate pathway
Cupriavidus	3PGA	High	M00115	External	0	NAD biosynthesis, aspartate => quinolinate => NAD
Cupriavidus	3PGA	High	M00119	External	0	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
Cupriavidus	3PGA	High	M00123	External	0	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
Cupriavidus	3PGA	High	M00124	External	0	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P
Cupriavidus	3PGA	High	M00135	External	0	GABA biosynthesis, eukaryotes, putrescine => GABA
Cupriavidus	3PGA	High	M00144	External	0	NADH:quinone oxidoreductase, prokaryotes
Cupriavidus	3PGA	High	M00176	External	0	Assimilatory sulfate reduction, sulfate => H2S
Cupriavidus	3PGA	High	M00344	External	0	Formaldehyde assimilation, xylulose monophosphate pathway
Cupriavidus	3PGA	High	M00345	External	0	Formaldehyde assimilation, ribulose monophosphate pathway
Cupriavidus	3PGA	High	M00357	External	0	Methanogenesis, acetate => methane
Cupriavidus	3PGA	High	M00373	External	0	Ethylmalonyl pathway
Cupriavidus	3PGA	High	M00374	External	0	Dicarboxylate-hydroxybutyrate cycle
Cupriavidus	3PGA	High	M00375	External	0	Hydroxypropionate-hydroxybutylate cycle
Cupriavidus	3PGA	High	M00432	External	0	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Cupriavidus	3PGA	High	M00525	External	0	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
Cupriavidus	3PGA	High	M00526	External	0	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
Cupriavidus	3PGA	High	M00527	External	0	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
Cupriavidus	3PGA	High	M00529	External	0	Denitrification, nitrate => nitrogen
Cupriavidus	3PGA	High	M00530	External	0	Dissimilatory nitrate reduction, nitrate => ammonia
Cupriavidus	3PGA	High	M00535	External	0	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Cupriavidus	3PGA	High	M00555	External	0	Betaine biosynthesis, choline => betaine
Cupriavidus	3PGA	High	M00568	External	0	Catechol ortho-cleavage, catechol => 3-oxoadipate
Cupriavidus	3PGA	High	M00570	External	0	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Cupriavidus	3PGA	High	M00572	External	0	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Cupriavidus	3PGA	High	M00577	External	0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
Cupriavidus	3PGA	High	M00844	External	0	Arginine biosynthesis, ornithine => arginine
Cupriavidus	3PGA	High	M00845	External	0	Arginine biosynthesis, glutamate => acetylcitrulline => arginine
Cupriavidus	3PGA	High	M00849	External	0	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Cupriavidus	3PGA	High	M00866	External	0	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
Cupriavidus	3PGA	High	M00873	External	0	Fatty acid biosynthesis in mitochondria, animals
Cupriavidus	3PGA	High	M00874	External	0	Fatty acid biosynthesis in mitochondria, fungi
Cupriavidus	3PGA	High	M00880	External	0	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor
Cupriavidus	3PGA	High	M00912	External	0	NAD biosynthesis, tryptophan => quinolinate => NAD
Cupriavidus	3PGA	High	M00913	External	0	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate
Cupriavidus	3PGA	Low	M00001	Internal	0	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Cupriavidus	3PGA	Low	M00002	Internal	0	Glycolysis, core module involving three-carbon compounds
Cupriavidus	3PGA	Low	M00003	Internal	0	Gluconeogenesis, oxaloacetate => fructose-6P
Cupriavidus	3PGA	Low	M00004	External	0	Pentose phosphate pathway (Pentose phosphate cycle)
Cupriavidus	3PGA	Low	M00006	External	0	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
Cupriavidus	3PGA	Low	M00007	External	0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Cupriavidus	3PGA	Low	M00008	External	0	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
Cupriavidus	3PGA	Low	M00013	External	0	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
Cupriavidus	3PGA	Low	M00015	External	0	Proline biosynthesis, glutamate => proline
Cupriavidus	3PGA	Low	M00016	External	0	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
Cupriavidus	3PGA	Low	M00019	External	0	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
Cupriavidus	3PGA	Low	M00022	External	0	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
Cupriavidus	3PGA	Low	M00027	External	0	GABA (gamma-Aminobutyrate) shunt
Cupriavidus	3PGA	Low	M00029	External	0	Urea cycle
Cupriavidus	3PGA	Low	M00036	External	0	Leucine degradation, leucine => acetoacetate + acetyl-CoA
Cupriavidus	3PGA	Low	M00060	External	0	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
Cupriavidus	3PGA	Low	M00064	External	0	ADP-L-glycero-D-manno-heptose biosynthesis
Cupriavidus	3PGA	Low	M00082	External	0	Fatty acid biosynthesis, initiation
Cupriavidus	3PGA	Low	M00083	External	0	Fatty acid biosynthesis, elongation
Cupriavidus	3PGA	Low	M00087	External	0	beta-Oxidation
Cupriavidus	3PGA	Low	M00088	External	0	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Cupriavidus	3PGA	Low	M00095	External	0	C5 isoprenoid biosynthesis, mevalonate pathway
Cupriavidus	3PGA	Low	M00096	External	0	C5 isoprenoid biosynthesis, non-mevalonate pathway
Cupriavidus	3PGA	Low	M00115	External	0	NAD biosynthesis, aspartate => quinolinate => NAD
Cupriavidus	3PGA	Low	M00119	External	0	Pantothenate biosynthesis, valine/L-aspartate => pantothenate
Cupriavidus	3PGA	Low	M00123	External	0	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
Cupriavidus	3PGA	Low	M00124	External	0	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P
Cupriavidus	3PGA	Low	M00135	External	0	GABA biosynthesis, eukaryotes, putrescine => GABA
Cupriavidus	3PGA	Low	M00144	External	0	NADH:quinone oxidoreductase, prokaryotes
Cupriavidus	3PGA	Low	M00165	Internal	0	Reductive pentose phosphate cycle (Calvin cycle)
Cupriavidus	3PGA	Low	M00167	External	0	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Cupriavidus	3PGA	Low	M00176	External	0	Assimilatory sulfate reduction, sulfate => H2S
Cupriavidus	3PGA	Low	M00344	External	0	Formaldehyde assimilation, xylulose monophosphate pathway
Cupriavidus	3PGA	Low	M00345	External	0	Formaldehyde assimilation, ribulose monophosphate pathway
Cupriavidus	3PGA	Low	M00346	External	0	Formaldehyde assimilation, serine pathway
Cupriavidus	3PGA	Low	M00357	External	0	Methanogenesis, acetate => methane
Cupriavidus	3PGA	Low	M00373	External	0	Ethylmalonyl pathway
Cupriavidus	3PGA	Low	M00374	External	0	Dicarboxylate-hydroxybutyrate cycle
Cupriavidus	3PGA	Low	M00375	External	0	Hydroxypropionate-hydroxybutylate cycle
Cupriavidus	3PGA	Low	M00432	External	0	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Cupriavidus	3PGA	Low	M00525	External	0	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
Cupriavidus	3PGA	Low	M00526	External	0	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
Cupriavidus	3PGA	Low	M00527	External	0	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
Cupriavidus	3PGA	Low	M00529	External	0	Denitrification, nitrate => nitrogen
Cupriavidus	3PGA	Low	M00530	External	0	Dissimilatory nitrate reduction, nitrate => ammonia
Cupriavidus	3PGA	Low	M00535	External	0	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Cupriavidus	3PGA	Low	M00555	External	0	Betaine biosynthesis, choline => betaine
Cupriavidus	3PGA	Low	M00568	External	0	Catechol ortho-cleavage, catechol => 3-oxoadipate
Cupriavidus	3PGA	Low	M00570	External	0	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
Cupriavidus	3PGA	Low	M00572	External	0	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP
Cupriavidus	3PGA	Low	M00577	External	0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
Cupriavidus	3PGA	Low	M00844	External	0	Arginine biosynthesis, ornithine => arginine
Cupriavidus	3PGA	Low	M00845	External	0	Arginine biosynthesis, glutamate => acetylcitrulline => arginine
Cupriavidus	3PGA	Low	M00849	External	0	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Cupriavidus	3PGA	Low	M00866	External	0	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
Cupriavidus	3PGA	Low	M00873	External	0	Fatty acid biosynthesis in mitochondria, animals
Cupriavidus	3PGA	Low	M00874	External	0	Fatty acid biosynthesis in mitochondria, fungi
Cupriavidus	3PGA	Low	M00880	External	0	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor
Cupriavidus	3PGA	Low	M00912	External	0	NAD biosynthesis, tryptophan => quinolinate => NAD
Cupriavidus	3PGA	Low	M00913	External	0	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate
Cupriavidus	AcCoA	High	M00006	External	0	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
Cupriavidus	AcCoA	High	M00008	External	0	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
Cupriavidus	AcCoA	High	M00013	Internal	0	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
Cupriavidus	AcCoA	High	M00015	External	0	Proline biosynthesis, glutamate => proline
Cupriavidus	AcCoA	High	M00016	External	0	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
Cupriavidus	AcCoA	High	M00022	External	0	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
Cupriavidus	AcCoA	High	M00064	External	0	ADP-L-glycero-D-manno-heptose biosynthesis
Cupriavidus	AcCoA	High	M00082	Internal	0	Fatty acid biosynthesis, initiation
Cupriavidus	AcCoA	High	M00087	Internal	0	beta-Oxidation
Cupriavidus	AcCoA	High	M00096	External	0	C5 isoprenoid biosynthesis, non-mevalonate pathway
Cupriavidus	AcCoA	High	M00115	External	0	NAD biosynthesis, aspartate => quinolinate => NAD
Cupriavidus	AcCoA	High	M00123	External	0	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
Cupriavidus	AcCoA	High	M00124	External	0	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P
Cupriavidus	AcCoA	High	M00135	Internal	0	GABA biosynthesis, eukaryotes, putrescine => GABA
Cupriavidus	AcCoA	High	M00144	External	0	NADH:quinone oxidoreductase, prokaryotes
Cupriavidus	AcCoA	High	M00176	External	0	Assimilatory sulfate reduction, sulfate => H2S
Cupriavidus	AcCoA	High	M00344	External	0	Formaldehyde assimilation, xylulose monophosphate pathway
Cupriavidus	AcCoA	High	M00345	External	0	Formaldehyde assimilation, ribulose monophosphate pathway
Cupriavidus	AcCoA	High	M00357	Internal	0	Methanogenesis, acetate => methane
Cupriavidus	AcCoA	High	M00432	Internal	0	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Cupriavidus	AcCoA	High	M00525	Internal	0	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
Cupriavidus	AcCoA	High	M00526	External	0	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
Cupriavidus	AcCoA	High	M00527	External	0	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
Cupriavidus	AcCoA	High	M00529	External	0	Denitrification, nitrate => nitrogen
Cupriavidus	AcCoA	High	M00530	External	0	Dissimilatory nitrate reduction, nitrate => ammonia
Cupriavidus	AcCoA	High	M00535	Internal	0	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Cupriavidus	AcCoA	High	M00555	External	0	Betaine biosynthesis, choline => betaine
Cupriavidus	AcCoA	High	M00568	External	0	Catechol ortho-cleavage, catechol => 3-oxoadipate
Cupriavidus	AcCoA	High	M00577	External	0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
Cupriavidus	AcCoA	High	M00873	External	0	Fatty acid biosynthesis in mitochondria, animals
Cupriavidus	AcCoA	High	M00880	External	0	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor
Cupriavidus	AcCoA	High	M00912	External	0	NAD biosynthesis, tryptophan => quinolinate => NAD
Cupriavidus	AcCoA	High	M00913	External	0	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate
Cupriavidus	AcCoA	Low	M00001	External	0	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Cupriavidus	AcCoA	Low	M00002	External	0	Glycolysis, core module involving three-carbon compounds
Cupriavidus	AcCoA	Low	M00003	External	0	Gluconeogenesis, oxaloacetate => fructose-6P
Cupriavidus	AcCoA	Low	M00004	External	0	Pentose phosphate pathway (Pentose phosphate cycle)
Cupriavidus	AcCoA	Low	M00006	External	0	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
Cupriavidus	AcCoA	Low	M00007	External	0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
Cupriavidus	AcCoA	Low	M00008	External	0	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
Cupriavidus	AcCoA	Low	M00013	Internal	0	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
Cupriavidus	AcCoA	Low	M00015	External	0	Proline biosynthesis, glutamate => proline
Cupriavidus	AcCoA	Low	M00016	External	0	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
Cupriavidus	AcCoA	Low	M00022	External	0	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
Cupriavidus	AcCoA	Low	M00027	External	0	GABA (gamma-Aminobutyrate) shunt
Cupriavidus	AcCoA	Low	M00029	External	0	Urea cycle
Cupriavidus	AcCoA	Low	M00060	External	0	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
Cupriavidus	AcCoA	Low	M00064	External	0	ADP-L-glycero-D-manno-heptose biosynthesis
Cupriavidus	AcCoA	Low	M00082	Internal	0	Fatty acid biosynthesis, initiation
Cupriavidus	AcCoA	Low	M00087	Internal	0	beta-Oxidation
Cupriavidus	AcCoA	Low	M00088	Internal	0	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
Cupriavidus	AcCoA	Low	M00095	Internal	0	C5 isoprenoid biosynthesis, mevalonate pathway
Cupriavidus	AcCoA	Low	M00096	External	0	C5 isoprenoid biosynthesis, non-mevalonate pathway
Cupriavidus	AcCoA	Low	M00115	External	0	NAD biosynthesis, aspartate => quinolinate => NAD
Cupriavidus	AcCoA	Low	M00123	External	0	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
Cupriavidus	AcCoA	Low	M00124	External	0	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P
Cupriavidus	AcCoA	Low	M00135	Internal	0	GABA biosynthesis, eukaryotes, putrescine => GABA
Cupriavidus	AcCoA	Low	M00144	External	0	NADH:quinone oxidoreductase, prokaryotes
Cupriavidus	AcCoA	Low	M00165	External	0	Reductive pentose phosphate cycle (Calvin cycle)
Cupriavidus	AcCoA	Low	M00167	External	0	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
Cupriavidus	AcCoA	Low	M00176	External	0	Assimilatory sulfate reduction, sulfate => H2S
Cupriavidus	AcCoA	Low	M00344	External	0	Formaldehyde assimilation, xylulose monophosphate pathway
Cupriavidus	AcCoA	Low	M00345	External	0	Formaldehyde assimilation, ribulose monophosphate pathway
Cupriavidus	AcCoA	Low	M00346	Internal	0	Formaldehyde assimilation, serine pathway
Cupriavidus	AcCoA	Low	M00357	Internal	0	Methanogenesis, acetate => methane
Cupriavidus	AcCoA	Low	M00373	Internal	0	Ethylmalonyl pathway
Cupriavidus	AcCoA	Low	M00374	Internal	0	Dicarboxylate-hydroxybutyrate cycle
Cupriavidus	AcCoA	Low	M00375	Internal	0	Hydroxypropionate-hydroxybutylate cycle
Cupriavidus	AcCoA	Low	M00432	Internal	0	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Cupriavidus	AcCoA	Low	M00525	Internal	0	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
Cupriavidus	AcCoA	Low	M00526	External	0	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
Cupriavidus	AcCoA	Low	M00527	External	0	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
Cupriavidus	AcCoA	Low	M00529	External	0	Denitrification, nitrate => nitrogen
Cupriavidus	AcCoA	Low	M00530	External	0	Dissimilatory nitrate reduction, nitrate => ammonia
Cupriavidus	AcCoA	Low	M00535	Internal	0	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Cupriavidus	AcCoA	Low	M00555	External	0	Betaine biosynthesis, choline => betaine
Cupriavidus	AcCoA	Low	M00568	External	0	Catechol ortho-cleavage, catechol => 3-oxoadipate
Cupriavidus	AcCoA	Low	M00577	External	0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
Cupriavidus	AcCoA	Low	M00844	External	0	Arginine biosynthesis, ornithine => arginine
Cupriavidus	AcCoA	Low	M00845	Internal	0	Arginine biosynthesis, glutamate => acetylcitrulline => arginine
Cupriavidus	AcCoA	Low	M00849	Internal	0	C5 isoprenoid biosynthesis, mevalonate pathway, archaea
Cupriavidus	AcCoA	Low	M00866	External	0	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type
Cupriavidus	AcCoA	Low	M00873	External	0	Fatty acid biosynthesis in mitochondria, animals
Cupriavidus	AcCoA	Low	M00880	External	0	Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor
Cupriavidus	AcCoA	Low	M00912	External	0	NAD biosynthesis, tryptophan => quinolinate => NAD
Cupriavidus	AcCoA	Low	M00913	External	0	Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate
Cupriavidus	ATP	High	M00001	Internal	0	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
Cupriavidus	ATP	High	M00002	Internal	0	Glycolysis, core module involving three-carbon compounds
Cupriavidus	ATP	High	M00003	Internal	0	Gluconeogenesis, oxaloacetate => fructose-6P
Cupriavidus	ATP	High	M00006	External	0	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
Cupriavidus	ATP	High	M00008	External	0	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
Cupriavidus	ATP	High	M00013	External	0	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
Cupriavidus	ATP	High	M00015	Internal	0	Proline biosynthesis, glutamate => proline
Cupriavidus	ATP	High	M00016	Internal	0	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
Cupriavidus	ATP	High	M00022	Internal	0	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
Cupriavidus	ATP	High	M00029	Internal	0	Urea cycle
Cupriavidus	ATP	High	M00049	Internal	0	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
Cupriavidus	ATP	High	M00050	Internal	0	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
Cupriavidus	ATP	High	M00060	Internal	0	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type
Cupriavidus	ATP	High	M00064	Internal	0	ADP-L-glycero-D-manno-heptose biosynthesis
Cupriavidus	ATP	High	M00082	Internal	0	Fatty acid biosynthesis, initiation
Cupriavidus	ATP	High	M00095	Internal	0	C5 isoprenoid biosynthesis, mevalonate pathway
Cupriavidus	ATP	High	M00096	Internal	0	C5 isoprenoid biosynthesis, non-mevalonate pathway
Cupriavidus	ATP	High	M00115	Internal	0	NAD biosynthesis, aspartate => quinolinate => NAD
Cupriavidus	ATP	High	M00123	Internal	0	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin
Cupriavidus	ATP	High	M00124	External	0	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P
Cupriavidus	ATP	High	M00144	External	0	NADH:quinone oxidoreductase, prokaryotes
Cupriavidus	ATP	High	M00176	Internal	0	Assimilatory sulfate reduction, sulfate => H2S
Cupriavidus	ATP	High	M00344	Internal	0	Formaldehyde assimilation, xylulose monophosphate pathway
Cupriavidus	ATP	High	M00345	Internal	0	Formaldehyde assimilation, ribulose monophosphate pathway
Cupriavidus	ATP	High	M00346	Internal	0	Formaldehyde assimilation, serine pathway
Cupriavidus	ATP	High	M00357	Internal	0	Methanogenesis, acetate => methane
Cupriavidus	ATP	High	M00373	Internal	0	Ethylmalonyl pathway
Cupriavidus	ATP	High	M00374	Internal	0	Dicarboxylate-hydroxybutyrate cycle
Cupriavidus	ATP	High	M00375	Internal	0	Hydroxypropionate-hydroxybutylate cycle
Cupriavidus	ATP	High	M00432	External	0	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
Cupriavidus	ATP	High	M00525	Internal	0	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
Cupriavidus	ATP	High	M00526	Internal	0	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
Cupriavidus	ATP	High	M00527	Internal	0	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
Cupriavidus	ATP	High	M00529	External	0	Denitrification, nitrate => nitrogen
Cupriavidus	ATP	High	M00530	External	0	Dissimilatory nitrate reduction, nitrate => ammonia
Cupriavidus	ATP	High	M00535	External	0	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
Cupriavidus	ATP	High	M00537	External	0	Xylene degradation, xylene => methylbenzoate
Cupriavidus	ATP	High	M00538	External	0	Toluene degradation, toluene => benzoate
Cupriavidus	ATP	High	M00555	External	0	Betaine biosynthesis, choline => betaine
Cupriavidus	ATP	High	M00568	External	0	Catechol ortho-cleavage, catechol => 3-oxoadipate
Cupriavidus	ATP	High	M00577	Internal	0	Biotin biosynthesis, BioW pathway, pimelate => pimeloyl-CoA => biotin
